ENTIDAD,MUN,LOC,AGEB,CVEGEO,POBTOT,log_POBTOT
17,001,0001,0060,1700100010060,1319,7.1853870155804165
17,001,0001,0075,1700100010075,522,6.259581464064923
17,001,0001,008A,170010001008A,705,6.559615237493242
17,001,0001,0107,1700100010107,1247,7.129297548929373
17,001,0001,0111,1700100010111,1568,7.358193752733032
17,001,0001,0164,1700100010164,7,2.0794415416798357
17,001,0008,0145,1700100080145,1473,7.295735072749282
17,001,0008,015A,170010008015A,1532,7.334981878871814
17,002,0001,0049,1700200010049,691,6.539585955617669
17,002,0001,0072,1700200010072,1982,7.592366128519796
17,002,0001,0087,1700200010087,3038,8.019283792916793
17,002,0001,0091,1700200010091,2188,7.691200097522863
17,002,0001,0161,1700200010161,19,2.995732273553991
17,002,0001,0176,1700200010176,23,3.1780538303479458
17,002,0033,0138,1700200330138,1061,6.967909201801884
17,002,0033,0142,1700200330142,735,6.601230118728877
17,002,0033,0157,1700200330157,803,6.6895992691789665
17,002,0033,0180,1700200330180,104,4.653960350157523
17,002,0033,0195,1700200330195,13,2.6390573296152584
17,003,0001,007A,170030001007A,1703,7.440733707389261
17,003,0001,0084,1700300010084,236,5.4680601411351315
17,003,0001,0099,1700300010099,481,6.1779441140506
17,003,0001,0101,1700300010101,661,6.495265555937008
17,003,0001,0116,1700300010116,1120,7.02197642307216
17,003,0001,0120,1700300010120,660,6.493753839851686
17,003,0001,0135,1700300010135,2049,7.6255950721324535
17,003,0001,0169,1700300010169,3392,8.129469764784231
17,003,0001,0173,1700300010173,2351,7.763021309018518
17,003,0001,0205,1700300010205,2724,7.9102237070973445
17,003,0001,021A,170030001021A,1999,7.600902459542082
17,003,0001,0224,1700300010224,53,3.9889840465642745
17,003,0001,0239,1700300010239,63,4.1588830833596715
17,003,0001,0258,1700300010258,16,2.833213344056216
17,003,0003,0154,1700300030154,3214,8.07558263667172
17,003,0003,0243,1700300030243,116,4.762173934797756
17,003,0010,0188,1700300100188,2269,7.727535110475448
17,003,0010,0192,1700300100192,2285,7.734558844354756
17,004,0001,0039,1700400010039,2940,7.9865049385539955
17,004,0001,0128,1700400010128,1248,7.130098510125578
17,004,0001,0202,1700400010202,1119,7.02108396428914
17,004,0001,033A,170040001033A,1013,6.921658184151129
17,004,0001,0344,1700400010344,170,5.14166355650266
17,004,0001,0359,1700400010359,117,4.770684624465665
17,004,0001,0503,1700400010503,81,4.406719247264253
17,004,0001,0575,1700400010575,89,4.499809670330265
17,004,0004,0024,1700400040024,3309,8.104703468371108
17,004,0004,0113,1700400040113,1920,7.560601162768557
17,004,0004,019A,170040004019A,1100,7.00397413672268
