ENTIDAD,MUN,LOC,AGEB,CVEGEO,POBTOT,log_POBTOT
32,001,0001,0116,3200100010116,1389,7.237059026124737
32,001,0001,0120,3200100010120,1014,6.922643891475888
32,001,0001,0135,3200100010135,92,4.532599493153256
32,001,0001,014A,320010001014A,124,4.8283137373023015
32,001,0001,0154,3200100010154,7,2.0794415416798357
32,001,0001,0169,3200100010169,0,0.0
32,001,0001,0173,3200100010173,0,0.0
32,002,0001,0081,3200200010081,884,6.785587645007929
32,002,0001,0096,3200200010096,527,6.269096283706261
32,002,0001,0109,3200200010109,115,4.7535901911063645
32,003,0001,0055,3200300010055,623,6.436150368369428
32,003,0001,006A,320030001006A,912,6.816735880594968
32,003,0001,0074,3200300010074,21,3.091042453358316
32,003,0001,0089,3200300010089,5,1.791759469228055
32,003,0001,0093,3200300010093,24,3.2188758248682006
32,003,0001,0106,3200300010106,8,2.1972245773362196
32,003,0001,0110,3200300010110,8,2.1972245773362196
32,004,0001,0067,3200400010067,1177,7.071573364211532
32,004,0001,0118,3200400010118,252,5.53338948872752
32,004,0001,0122,3200400010122,24,3.2188758248682006
32,004,0001,0137,3200400010137,692,6.541029999189903
32,004,0001,0141,3200400010141,609,6.413458957167357
32,004,0001,0156,3200400010156,12,2.5649493574615367
32,004,0001,0160,3200400010160,0,0.0
32,004,0001,0175,3200400010175,2,1.0986122886681098
32,004,0001,018A,320040001018A,0,0.0
32,004,0001,0194,3200400010194,0,0.0
32,004,0001,0207,3200400010207,0,0.0
32,005,0001,0064,3200500010064,3665,8.20685642839965
32,005,0001,0083,3200500010083,2363,7.768110378525988
32,005,0001,0098,3200500010098,1687,7.431299675155903
32,005,0001,0219,3200500010219,1870,7.534228326274089
32,005,0001,0223,3200500010223,1691,7.433666540166168
32,005,0001,0238,3200500010238,725,6.587550014824796
32,005,0001,0261,3200500010261,72,4.290459441148391
32,005,0001,0280,3200500010280,192,5.262690188904886
32,005,0001,0350,3200500010350,507,6.230481447578482
32,005,0001,0365,3200500010365,1643,7.404887575616125
32,005,0001,037A,320050001037A,1436,7.270312886079025
32,005,0001,0384,3200500010384,905,6.80903930604298
32,005,0001,0399,3200500010399,1848,7.522400231387125
32,005,0001,0401,3200500010401,1568,7.358193752733032
32,005,0001,0416,3200500010416,1823,7.508787170634276
32,005,0001,0420,3200500010420,1455,7.283448228756631
32,005,0001,0435,3200500010435,1000,6.90875477931522
32,005,0001,0473,3200500010473,10,2.3978952727983707
32,005,0001,0505,3200500010505,0,0.0
32,005,0001,0524,3200500010524,1854,7.5256399750415355
32,005,0001,0539,3200500010539,266,5.58724865840025
32,005,0001,0543,3200500010543,16,2.833213344056216
32,005,0001,0581,3200500010581,43,3.784189633918261
32,005,0001,0628,3200500010628,0,0.0
32,005,0001,0651,3200500010651,158,5.0689042022202315
32,005,0001,0666,3200500010666,247,5.5134287461649825
32,005,0001,0717,3200500010717,83,4.430816798843313
32,005,0001,0721,3200500010721,98,4.59511985013459
32,005,0001,0736,3200500010736,183,5.214935757608986
32,005,0001,0740,3200500010740,980,6.8885724595653635
32,005,0001,0755,3200500010755,0,0.0
32,005,0001,076A,320050001076A,1473,7.295735072749282
32,005,0001,0774,3200500010774,933,6.839476438228843
32,005,0001,0789,3200500010789,1420,7.259116128097101
32,005,0001,0793,3200500010793,265,5.583496308781699
32,005,0001,0806,3200500010806,0,0.0
32,005,0001,0810,3200500010810,0,0.0
32,005,0001,083A,320050001083A,99,4.605170185988092
32,005,0001,0844,3200500010844,0,0.0
32,005,0001,0859,3200500010859,143,4.969813299576001
32,005,0022,0149,3200500220149,2255,7.721348612617949
32,005,0022,0153,3200500220153,1822,7.508238774678663
32,005,0022,0312,3200500220312,153,5.0369526024136295
32,005,0022,044A,320050022044A,104,4.653960350157523
32,005,0022,0454,3200500220454,89,4.499809670330265
32,005,0022,051A,320050022051A,35,3.58351893845611
32,005,0022,0647,3200500220647,35,3.58351893845611
32,005,0022,0825,3200500220825,17,2.8903717578961645
32,006,0001,0080,3200600010080,231,5.44673737166631
32,006,0001,0095,3200600010095,1450,7.280008252884188
32,006,0001,0108,3200600010108,1174,7.069023426578259
32,006,0001,0127,3200600010127,672,6.511745329644728
32,006,0001,0131,3200600010131,925,6.8308742346461795
32,006,0001,0146,3200600010146,151,5.0238805208462765
32,006,0001,0150,3200600010150,112,4.727387818712341
32,006,0001,0165,3200600010165,193,5.267858159063328
32,006,0001,017A,320060001017A,320,5.771441123130016
32,006,0001,024A,320060001024A,14,2.70805020110221
32,006,0001,0254,3200600010254,130,4.875197323201151
32,006,0001,0269,3200600010269,10,2.3978952727983707
32,006,0001,0273,3200600010273,270,5.602118820879701
32,006,0001,0288,3200600010288,485,6.186208623900494
32,006,0001,0292,3200600010292,0,0.0
32,006,0001,0305,3200600010305,29,3.4011973816621555
32,006,0001,031A,320060001031A,0,0.0
32,006,0001,0324,3200600010324,0,0.0
32,007,0001,0302,3200700010302,50,3.9318256327243257
32,007,0001,0317,3200700010317,91,4.5217885770490405
32,007,0001,050A,320070001050A,1650,7.409136443920128
32,007,0001,0514,3200700010514,1264,7.142827401161621
32,007,0001,0529,3200700010529,1083,6.988413181999592
32,007,0001,0533,3200700010533,728,6.591673732008658
32,007,0001,0548,3200700010548,1139,7.038783541388542
32,007,0001,0552,3200700010552,1082,6.9874902470009905
32,007,0001,0567,3200700010567,111,4.718498871295094
32,007,0001,0571,3200700010571,2,1.0986122886681098
32,007,0001,0586,3200700010586,5,1.791759469228055
32,007,0001,0590,3200700010590,5,1.791759469228055
32,007,0001,0603,3200700010603,0,0.0
32,008,0001,0051,3200800010051,1589,7.371489295214277
32,008,0001,0066,3200800010066,993,6.901737206656574
32,008,0001,0085,3200800010085,1141,7.040536390215956
32,008,0001,009A,320080001009A,1211,7.10002716662926
32,008,0001,0102,3200800010102,409,6.016157159698354
32,008,0001,016A,320080001016A,9,2.302585092994046
32,008,0001,0174,3200800010174,247,5.5134287461649825
32,008,0001,0189,3200800010189,957,6.86484777797086
32,008,0001,0193,3200800010193,1236,7.1204443723924875
32,008,0001,023A,320080001023A,28,3.367295829986474
32,008,0001,0244,3200800010244,0,0.0
32,008,0001,0259,3200800010259,6,1.9459101490553132
32,008,0001,0263,3200800010263,19,2.995732273553991
32,008,0001,0297,3200800010297,13,2.6390573296152584
32,008,0001,030A,320080001030A,36,3.6109179126442243
32,008,0001,0314,3200800010314,35,3.58351893845611
32,008,0001,0329,3200800010329,315,5.755742213586912
32,008,0001,0333,3200800010333,4,1.6094379124341003
32,008,0001,0348,3200800010348,49,3.912023005428146
32,008,0001,0352,3200800010352,0,0.0
32,009,0001,0129,3200900010129,960,6.8679744089702925
32,009,0001,0133,3200900010133,792,6.675823221634848
32,009,0001,0148,3200900010148,650,6.478509642208569
32,009,0001,0152,3200900010152,1215,7.103322062526113
32,009,0001,0294,3200900010294,140,4.948759890378168
32,009,0001,0307,3200900010307,7,2.0794415416798357
32,009,0001,0311,3200900010311,6,1.9459101490553132
32,009,0001,0326,3200900010326,19,2.995732273553991
32,009,0001,0330,3200900010330,5,1.791759469228055
32,009,0001,0345,3200900010345,0,0.0
32,009,0001,035A,320090001035A,5,1.791759469228055
32,009,0001,0364,3200900010364,0,0.0
32,010,0001,0505,3201000010505,2168,7.682021510826875
32,010,0001,051A,320100001051A,3280,8.0959035329611
32,010,0001,0524,3201000010524,3568,8.18004072349016
32,010,0001,0539,3201000010539,3601,8.189244525735901
32,010,0001,0558,3201000010558,2371,7.771488760117616
32,010,0001,0577,3201000010577,1749,7.4673710669175595
32,010,0001,0863,3201000010863,2494,7.822044008185619
32,010,0001,0878,3201000010878,2232,7.711101251840158
32,010,0001,0882,3201000010882,2348,7.761744984658913
