ENTIDAD,MUN,LOC,AGEB,CVEGEO,POBTOT,log_POBTOT
29,001,0001,003A,290010001003A,1096,7.00033446027523
29,001,0001,0044,2900100010044,886,6.787844982309579
29,001,0001,0059,2900100010059,4234,8.351138607086154
29,001,0001,0063,2900100010063,2671,7.890582534656536
29,001,0001,0082,2900100010082,227,5.429345628954441
29,002,0001,0022,2900200010022,2729,7.912056888179006
29,002,0001,0037,2900200010037,1143,7.042286171939743
29,002,0002,0075,2900200020075,999,6.907755278982137
29,002,0002,008A,290020002008A,2233,7.711548979629146
29,002,0004,0094,2900200040094,829,6.721425700790643
29,002,0005,0056,2900200050056,827,6.71901315438526
29,002,0005,0060,2900200050060,2010,7.606387389772652
29,003,0001,002A,290030001002A,480,6.175867270105761
29,004,0001,007A,290040001007A,243,5.497168225293202
29,004,0001,0084,2900400010084,69,4.248495242049359
29,004,0001,0099,2900400010099,204,5.3230099791384085
29,004,0001,0101,2900400010101,292,5.680172609017068
29,004,0001,0116,2900400010116,1237,7.121252453244542
29,004,0001,0120,2900400010120,1695,7.4360278163518485
29,004,0001,0135,2900400010135,86,4.465908118654584
29,005,0001,001A,290050001001A,2550,7.844240718141811
29,005,0001,0039,2900500010039,2111,7.655390644826152
29,005,0001,0043,2900500010043,2877,7.964850887447313
29,005,0001,0058,2900500010058,3210,8.074337694089515
29,005,0001,0096,2900500010096,3686,8.212568398234145
29,005,0001,0132,2900500010132,531,6.2766434893416445
29,005,0001,0306,2900500010306,3164,8.059908334578276
29,005,0001,0310,2900500010310,1431,7.266827347520591
29,005,0001,0325,2900500010325,3578,8.182838710766026
29,005,0001,0344,2900500010344,2707,7.903965634032166
29,005,0001,0378,2900500010378,1240,7.123672785204607
29,005,0001,0382,2900500010382,1802,7.497207223203318
29,005,0001,0397,2900500010397,1822,7.508238774678663
29,005,0001,040A,290050001040A,2025,7.613818684808629
29,005,0001,0414,2900500010414,1241,7.124478262493424
29,005,0001,0486,2900500010486,1363,7.218176838403408
29,005,0001,0490,2900500010490,724,6.586171654854675
29,005,0001,0522,2900500010522,1208,7.097548850614793
29,005,0001,0537,2900500010537,1009,6.917705609835305
29,005,0001,0575,2900500010575,167,5.123963979403259
29,005,0001,0626,2900500010626,2026,7.614312146452
29,005,0001,0630,2900500010630,153,5.0369526024136295
29,005,0001,0645,2900500010645,1749,7.4673710669175595
29,005,0001,0700,2900500010700,1581,7.366445148327599
29,005,0001,0715,2900500010715,2680,7.893945138235959
29,005,0001,072A,290050001072A,700,6.55250788703459
29,005,0001,0734,2900500010734,1065,6.97166860472579
29,005,0001,0749,2900500010749,1106,7.009408932708637
29,005,0002,0698,2900500020698,2428,7.795234929002173
29,005,0006,0683,2900500060683,2419,7.791522819150732
29,005,0007,065A,290050007065A,2366,7.769378609513984
29,005,0007,0664,2900500070664,2723,7.909856667269403
29,005,0007,0679,2900500070679,1010,6.918695219020472
29,005,0009,0503,2900500090503,223,5.4116460518550396
29,005,0009,0518,2900500090518,808,6.695798917058491
29,005,0009,058A,290050009058A,704,6.558197802812269
29,005,0009,0594,2900500090594,996,6.904750769961838
29,005,0009,0607,2900500090607,1501,7.31455283232408
29,005,0009,0753,2900500090753,487,6.1903154058531475
29,005,0009,0768,2900500090768,732,6.597145701886651
29,005,0009,0772,2900500090772,1034,6.942156705699469
29,005,0009,0787,2900500090787,508,6.2324480165505225
29,005,0009,0791,2900500090791,190,5.25227342804663
29,005,0010,0166,2900500100166,254,5.541263545158426
29,005,0010,0221,2900500100221,357,5.8805329864007
29,005,0010,0467,2900500100467,2741,7.91644286012226
29,005,0010,0471,2900500100471,2905,7.974532844130228
29,005,0010,0556,2900500100556,12,2.5649493574615367
29,005,0010,0560,2900500100560,10,2.3978952727983707
29,006,0001,0093,2900600010093,2194,7.693937325509272
29,006,0001,0106,2900600010106,4275,8.360773272144936
29,006,0001,0110,2900600010110,2119,7.659171367666058
29,006,0001,0125,2900600010125,3768,8.234564993267135
29,006,0001,0144,2900600010144,5410,8.596189197642735
29,006,0001,0159,2900600010159,3208,8.073714641109857
29,006,0001,0182,2900600010182,369,5.91350300563827
29,006,0001,0197,2900600010197,34,3.5553480614894135
29,006,0001,020A,290060001020A,247,5.5134287461649825
29,006,0001,0214,2900600010214,3110,8.042699496897637
29,006,0001,0229,2900600010229,2587,7.858640655620791
29,006,0001,0233,2900600010233,1641,7.403670290012373
29,006,0001,0248,2900600010248,1695,7.4360278163518485
29,006,0001,0252,2900600010252,145,4.983606621708336
29,006,0001,0267,2900600010267,141,4.955827057601261
29,006,0001,0271,2900600010271,952,6.859614903654202
29,006,0001,0286,2900600010286,1359,7.215239978730097
29,006,0001,0290,2900600010290,9,2.302585092994046
29,006,0018,0303,2900600180303,1869,7.533693709848633
29,006,0018,0318,2900600180318,745,6.61472560020376
29,007,0001,0033,2900700010033,3978,8.288785810426928
29,007,0001,0048,2900700010048,3440,8.14351740579748
29,007,0001,0067,2900700010067,532,6.278521424165844
29,007,0001,0071,2900700010071,1061,6.967909201801884
29,007,0001,0086,2900700010086,425,6.054439346269371
29,007,0001,0103,2900700010103,194,5.272999558563747
29,007,0001,0118,2900700010118,249,5.521460917862246
29,007,0001,0122,2900700010122,1079,6.984716320118266
29,007,0001,0137,2900700010137,1667,7.419380582918692
29,007,0001,0141,2900700010141,357,5.8805329864007
29,007,0001,0156,2900700010156,529,6.272877006546167
29,007,0001,0160,2900700010160,738,6.6052979209482015
29,008,0001,0045,2900800010045,155,5.049856007249537
29,008,0001,005A,290080001005A,80,4.394449154672439
29,008,0001,0064,2900800010064,661,6.495265555937008
29,008,0001,0098,2900800010098,2302,7.741967899820685
29,008,0001,0100,2900800010100,2760,7.923348211930154
29,008,0001,0115,2900800010115,2353,7.763871287820222
29,008,0001,012A,290080001012A,87,4.477336814478207
29,009,0001,0023,2900900010023,929,6.835184586147301
29,009,0001,0038,2900900010038,482,6.180016653652572
29,009,0001,0042,2900900010042,641,6.464588303689961
29,009,0001,0057,2900900010057,268,5.594711379601839
29,009,0001,0061,2900900010061,435,6.077642243349034
29,010,0001,0039,2901000010039,4987,8.514790306799927
29,010,0001,0128,2901000010128,3302,8.10258642539079
29,010,0001,0151,2901000010151,2425,7.793999089503996
29,010,0001,0255,2901000010255,1637,7.401231264413015
29,010,0001,026A,290100001026A,1095,6.999422467507961
29,010,0001,0289,2901000010289,3592,8.186742787113518
29,010,0001,0293,2901000010293,4178,8.337827262447915
29,010,0001,0306,2901000010306,2371,7.771488760117616
29,010,0001,0359,2901000010359,4425,8.395251520610994
29,010,0001,0363,2901000010363,2828,7.947678571301568
29,010,0001,0397,2901000010397,762,6.637258031284457
29,010,0001,040A,290100001040A,3081,8.033334015880062
29,010,0001,0414,2901000010414,1999,7.600902459542082
29,010,0001,0471,2901000010471,2903,7.973844375944687
29,010,0001,0486,2901000010486,2750,7.919719760924575
29,010,0001,0490,2901000010490,3409,8.134467570277563
29,010,0001,0503,2901000010503,2286,7.734996194022781
29,010,0005,0452,2901000050452,1619,7.3901814282264295
29,010,0005,0467,2901000050467,1792,7.491645473605133
29,010,0006,0433,2901000060433,1783,7.486613313139955
29,010,0006,0518,2901000060518,868,6.767343125265392
29,010,0006,0522,2901000060522,1065,6.97166860472579
29,010,0006,0541,2901000060541,58,4.07753744390572
29,010,0010,0537,2901000100537,2668,7.889459149404524
29,010,0012,0202,2901000120202,1367,7.221105098182496
