ENTIDAD,MUN,LOC,AGEB,CVEGEO,POBTOT,log_POBTOT
16,001,0001,0028,1600100010028,2901,7.973155433444133
16,001,0001,0051,1600100010051,900,6.803505257608338
16,001,0001,0066,1600100010066,538,6.289715570908998
16,001,0001,0070,1600100010070,177,5.181783550292085
16,001,0001,0085,1600100010085,140,4.948759890378168
16,001,0001,009A,160010001009A,526,6.267200548541362
16,001,0001,0102,1600100010102,986,6.894670039433482
16,001,0001,0117,1600100010117,295,5.69035945432406
16,001,0001,0121,1600100010121,62,4.143134726391533
16,001,0001,0136,1600100010136,5,1.791759469228055
16,001,0001,0140,1600100010140,65,4.189654742026425
16,001,0001,0155,1600100010155,6,1.9459101490553132
16,001,0001,016A,160010001016A,21,3.091042453358316
16,001,0001,0174,1600100010174,63,4.1588830833596715
16,001,0001,0189,1600100010189,48,3.8918202981106265
16,002,0001,0167,1600200010167,1275,7.151485463904735
16,002,0001,0171,1600200010171,1483,7.302496423727326
16,002,0001,0218,1600200010218,1124,7.025538314638521
16,002,0001,0222,1600200010222,1133,7.033506484287697
16,002,0001,0237,1600200010237,860,6.7580945044277305
16,002,0001,0241,1600200010241,457,6.126869184114185
16,002,0001,0256,1600200010256,632,6.450470422144176
16,002,0001,0260,1600200010260,471,6.156978985585555
16,002,0001,0275,1600200010275,1207,7.0967213784947605
16,002,0001,0326,1600200010326,136,4.919980925828125
16,002,0001,0379,1600200010379,14,2.70805020110221
16,002,0001,0383,1600200010383,9,2.302585092994046
16,002,0001,0398,1600200010398,0,0.0
16,002,0009,0345,1600200090345,1019,6.927557906278317
16,002,0009,035A,160020009035A,725,6.587550014824796
16,002,0009,0364,1600200090364,484,6.184148890937483
16,002,0009,0400,1600200090400,4,1.6094379124341003
16,003,0001,0041,1600300010041,1713,7.446585099157725
16,003,0001,0056,1600300010056,646,6.472346294500901
16,003,0001,0060,1600300010060,1713,7.446585099157725
16,003,0001,0075,1600300010075,508,6.2324480165505225
16,003,0001,008A,160030001008A,385,5.955837369464831
16,003,0001,0094,1600300010094,1476,7.29776828253138
16,003,0001,0107,1600300010107,1528,7.332369205929062
16,003,0001,0111,1600300010111,529,6.272877006546167
16,003,0001,0126,1600300010126,162,5.093750200806762
16,003,0001,0130,1600300010130,46,3.8501476017100584
16,003,0001,0145,1600300010145,16,2.833213344056216
16,003,0001,0179,1600300010179,85,4.454347296253507
16,003,0001,0183,1600300010183,0,0.0
16,004,0001,0053,1600400010053,422,6.0473721790462776
16,004,0001,0068,1600400010068,342,5.8377304471659395
16,004,0001,0072,1600400010072,888,6.790097235513905
16,004,0001,0123,1600400010123,1623,7.392647520721623
16,004,0001,0138,1600400010138,1379,7.22983877815125
16,004,0001,0142,1600400010142,301,5.71042701737487
16,004,0001,0157,1600400010157,70,4.2626798770413155
16,004,0001,0161,1600400010161,5,1.791759469228055
16,005,0001,0027,1600500010027,703,6.556778356158042
16,005,0001,0031,1600500010031,539,6.29156913955832
16,005,0001,0046,1600500010046,1174,7.069023426578259
16,005,0001,0050,1600500010050,997,6.905753276311464
16,005,0001,0065,1600500010065,1188,7.080867896690782
16,006,0001,0255,1600600010255,1189,7.081708586105575
16,006,0001,026A,160060001026A,3077,8.032035314398824
16,006,0001,0293,1600600010293,2334,7.755767170102998
16,006,0001,0325,1600600010325,4826,8.481980435660493
16,006,0001,0378,1600600010378,2335,7.756195343948118
16,006,0001,0382,1600600010382,2470,7.81237820598861
16,006,0001,0397,1600600010397,3467,8.151333337900432
16,006,0001,040A,160060001040A,2558,7.847371836159788
16,006,0001,0414,1600600010414,3142,8.052933036797567
16,006,0001,0448,1600600010448,3370,8.12296471523406
16,006,0001,0452,1600600010452,3820,8.2482674474469
16,006,0001,0467,1600600010467,2978,7.999342952713282
16,006,0001,0471,1600600010471,2745,7.917900586327916
16,006,0001,0490,1600600010490,2671,7.890582534656536
16,006,0001,0503,1600600010503,471,6.156978985585555
16,006,0001,0518,1600600010518,3430,8.14060704285845
16,006,0001,058A,160060001058A,1305,7.174724309836376
16,006,0001,0594,1600600010594,1540,7.340186835320115
16,006,0001,0607,1600600010607,1734,7.45876269238096
16,006,0001,0611,1600600010611,1780,7.484930283289661
16,006,0001,0626,1600600010626,2049,7.6255950721324535
16,006,0001,0630,1600600010630,2870,7.962415680121064
16,006,0001,0645,1600600010645,2810,7.941295570906532
16,006,0001,065A,160060001065A,1660,7.415175109613295
16,006,0001,0664,1600600010664,1885,7.542213463193403
16,006,0001,0679,1600600010679,1846,7.52131798019924
16,006,0001,0683,1600600010683,2213,7.7025561132685825
16,006,0001,0698,1600600010698,1503,7.315883504509785
16,006,0001,0700,1600600010700,2129,7.6638772587034705
16,006,0001,0715,1600600010715,3625,8.195885391314796
16,006,0001,072A,160060001072A,3700,8.216358332386156
16,006,0001,0749,1600600010749,3314,8.106212902619962
16,006,0001,0753,1600600010753,2287,7.7354333524996886
16,006,0001,0768,1600600010768,1650,7.409136443920128
16,006,0001,0772,1600600010772,1375,7.226936018493289
16,006,0001,0787,1600600010787,496,6.208590026096629
16,006,0001,0791,1600600010791,490,6.19644412779452
16,006,0001,0804,1600600010804,264,5.579729825986222
16,006,0001,0819,1600600010819,79,4.382026634673881
16,006,0001,0823,1600600010823,164,5.10594547390058
16,006,0001,0838,1600600010838,1529,7.333023014386481
16,006,0001,0842,1600600010842,2247,7.717796211013582
16,006,0001,0857,1600600010857,78,4.3694478524670215
16,006,0001,0861,1600600010861,128,4.859812404361672
16,006,0001,0876,1600600010876,2356,7.7651449029361315
16,006,0001,0880,1600600010880,2805,7.939515260662406
16,006,0001,0895,1600600010895,273,5.6131281063880705
16,006,0001,0908,1600600010908,19,2.995732273553991
16,006,0001,0912,1600600010912,106,4.672828834461906
16,006,0001,0927,1600600010927,1437,7.271008538280992
16,006,0001,0931,1600600010931,71,4.276666119016055
16,006,0001,0946,1600600010946,146,4.990432586778736
16,006,0001,0950,1600600010950,123,4.820281565605037
16,006,0001,1198,1600600011198,5,1.791759469228055
16,006,0001,1200,1600600011200,21,3.091042453358316
16,006,0001,1215,1600600011215,0,0.0
16,006,0001,122A,160060001122A,1,0.6931471805599453
16,006,0001,1249,1600600011249,14,2.70805020110221
16,006,0001,1253,1600600011253,0,0.0
16,006,0001,1268,1600600011268,0,0.0
16,006,0001,1272,1600600011272,0,0.0
