system:index,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,CVEGEO,CVE_ENT,CVE_LOC,CVE_MUN,POBTOT,area_sqkm,log_POBTOT,log_popden,pop_dens,.geo
000200000000000011dd,0.0882392187588671,-0.22377145440583093,0.15192267467444256,0.16393528036845922,-0.06289581306722468,-0.13027740428754103,-0.007672444845707603,0.0322492726828539,-0.36689898129867454,-0.015917251024050935,0.06442828944871921,0.05145997025365811,-0.20118489528221684,-0.06962671387500906,-0.0955159341850826,0.05513377127021642,0.07797458303669301,0.13325846526962623,0.11654158767401644,0.041232944113664446,-0.0011195813374975739,5.263366487165403E-4,0.025718063476495235,-0.08863139474460743,-0.035834580716784074,0.23034610318688947,-0.026625609103908248,0.0872002727590913,-0.03055179781012376,0.1282138376250424,0.11704687488552583,-0.05020174092858985,-0.07927026084346689,-0.13311321068686616,0.09405053051047356,0.1310523696968227,-0.050418421927818764,-0.04411502293500434,-0.11064559825403797,0.15769492349622816,0.19390389476784106,-0.19108208935251453,-0.037755831834875804,0.0970094161966912,0.05256379651813501,0.08837208600639128,0.020019836203060023,0.12137810812352498,0.1251425921053453,-0.07454172370553556,0.039581122348453304,0.10145518504690766,-0.1284211990847906,0.06552403123636157,0.05439424323072054,-0.23042480359723166,0.0774419263917609,0.011632104450611776,-0.11318219464796869,-0.0808728664136763,0.18670903910444359,-0.0530673135920628,-0.08273803525913312,4.2749910946635647E-4,2500100012822,25,0001,001,3679,0.3485,3.5658478186735176,4.024,10556.6714,"{""type"":""MultiPoint"",""coordinates"":[]}"
00020000000000005696,0.14943432851708746,-0.23646338835704095,0.16551932019797938,0.10717745666677171,0.03625011436260245,-0.16343211666221924,-0.013045532464014199,-0.07757407555335251,-0.31703248841496695,-0.12074503847754987,5.1357710685541845E-5,-0.0049892657223479285,-0.18698267373831245,-0.1831934006755163,-0.06082313274006218,-0.06455335871863127,0.06431292133433707,0.07406557489232031,0.1324720121110574,-0.09137854918601775,-0.021895989206152537,0.06477472849697725,-0.04033090482526454,-0.11353740376815841,-0.08534747434563436,0.19990295909033218,-0.03339281056314858,0.03891371205335813,-0.0075932142601510075,0.1606803143194249,0.09515317330741264,-0.07215994441085151,0.04462736055362031,-0.14992560089701615,0.19061920722053288,-0.007784553694645406,-0.163250701299249,-0.09743870789622996,-0.15236288419657465,-0.03662738630598717,0.020785268934261553,-0.1459980480120436,-0.07627608665890029,0.07084361049540772,0.09379567548183199,0.1206207332276309,-0.06007109290761629,0.0932458817796392,0.09238610849450136,-0.10083403808484649,0.027167800181347106,0.08051216873934769,-0.2468467308456132,-0.0018534737393096777,0.10733079440290728,-0.1005630792076325,-1.1323084699532244E-4,-0.04545138509982798,-0.050291287466353085,-0.0713314229367542,0.10940872834435694,0.001718353939402138,-0.0752253770886593,0.10212775105218495,0501800012061,05,0001,018,3679,0.4565,3.5658478186735176,3.906,8059.1457,"{""type"":""MultiPoint"",""coordinates"":[]}"
00020000000000001420,0.094343814672557,-0.19872445756739845,0.26955953189860093,0.06031611754779564,-0.09029301847099493,-0.10994341469360665,0.004512386553152641,4.2935320660073977E-4,-0.27289562376378773,-0.11416862247909616,0.0824387810108824,0.11395824415121254,-0.19727465552185997,-0.05455811721716262,-0.03770809459899939,0.12387738567902139,0.1018844190720178,0.16909036016291878,0.09846277818349884,-0.02067049633870187,0.028053538118726604,0.089920812423844,0.08069488457845363,0.006128758468951442,-0.03968293148489387,0.16343704127396408,-0.047479078865221735,0.048242070169250244,0.027588804534737773,0.14958218850418603,0.11926329346895004,-0.01723460716234221,-0.07787250337352555,-0.18899241734669198,0.10200307905809852,0.03209102761235553,-0.18354370853722682,-0.009360916886389833,-0.08688831152302842,0.01057765763965267,0.05897937966127529,-0.19618923322472276,-0.1043778574155421,0.049562929948949196,0.11080444696050733,0.11099603351505159,-0.03541127562217692,0.1514352369868554,0.07938320362432347,-0.059458286786623536,0.04450060146875692,0.12250853382576132,-0.22635950586996284,-0.010039340007415841,0.06937905146654906,-0.2424748328367225,0.08630103021879776,-0.06642264721042328,-0.04695158014238851,-0.04669881265816404,0.1240733408637981,-0.012412853565503482,-0.06930680364834173,-0.04995842769103828,2500600013507,25,0001,006,3682,0.6116,3.566201718854913,3.78,6020.2747,"{""type"":""MultiPoint"",""coordinates"":[]}"
00020000000000002ea3,0.08190492476148462,-0.12340539056020082,0.06889140888697166,0.0074669317429777214,-0.20300900441454026,-0.12775517780813705,0.1831824471435565,-0.04716161218175312,-0.33718889322434564,0.008857479528979731,0.03337291733008919,-0.010829891414474244,-0.2001594922273543,-0.022826602803489096,-0.15190982280562365,0.012239447392170007,0.13554280962503734,0.1265524291019745,0.08866977184043263,0.10356462279952998,-0.04763573630573492,0.1666291551673798,-0.011818800324926706,-0.11171788545592636,-0.004186255789822313,0.15158200395356375,0.11096554642121653,0.013209473002939866,-0.10982584540355955,0.1632403535564888,0.14550814939232903,-0.04743348300392717,-0.04360242940440684,0.0386692299746121,0.02573778431162327,0.005498680829690042,-0.11575728001151837,-0.01130811396490374,-0.0838085761797511,0.07753636577209119,0.14381131076531828,-0.19278134457254123,-0.09340482075079143,0.185030582067753,-0.09412284394309553,0.07662095980040617,0.026895748591333885,0.02241598081399675,0.10770491470482531,0.014263174099894872,0.04480470012263986,0.031895325764251165,-0.193913749283187,0.10266539356867853,0.054446643398817426,-0.11392902087282802,0.08371376724909275,0.06318434058259331,-0.021159133018386962,-0.12681150597454788,0.11626866298699264,-0.08426203802442042,-0.1940078752646937,0.05362653555141921,3105000013746,31,0001,050,3682,0.6678,3.566201718854913,3.742,5513.6268,"{""type"":""MultiPoint"",""coordinates"":[]}"
00020000000000005e5e,0.09727342323068991,-0.1924329336957387,0.08576846005349702,0.2252441441239895,0.054888206755043766,-0.1774587341344823,-0.027359346841917927,-0.019088033543982766,-0.36556344389560946,-0.016535519971767467,0.1107280625407639,0.04699480008835317,-0.18023277011285535,-0.08654462326896149,-0.10200347629109752,-0.054281123937539616,0.11906240252853015,0.023827172313276787,0.19232535861917352,-0.05849791283075406,0.011632892392508264,-0.017028017826529584,-0.0744299503244364,-0.22517672541073985,-0.1837943411287929,0.16409776589929684,2.7054774820085094E-4,0.08026552735758263,-0.10376882299512172,0.09634800652717142,0.0037119330190043954,-0.05296248481412619,-0.03257681518802407,-0.21066364773863225,0.17099414042621827,-0.04235315332731874,-0.12295064420752068,-0.0820561594017585,-0.20712359117990511,0.05856237574247373,0.1209311538098224,-0.09649146754577821,-0.0011623388284942103,-0.037343137171052324,0.0628902590193489,0.1176390436714688,0.009573165278915536,0.10570414925178863,0.056137680873942795,-0.07188578479865636,0.04031961625381833,0.10686803796207792,-0.13295500401030494,-0.08382215697599867,0.1509670439778884,0.033120857506215406,-0.023298357524690196,0.02162242703678305,-0.10619259395207539,-0.21221371592574328,0.11896626485121603,-8.627229796139753E-4,-0.12827569421294893,0.025403168052997947,080210001037A,08,0001,021,3682,0.5897,3.566201718854913,3.796,6243.8528,"{""type"":""MultiPoint"",""coordinates"":[]}"
00020000000000001f6d,0.10644890388460262,-0.08883359337874333,0.25192372904495036,0.11017120991242235,0.010346855025249681,-0.1374583559980363,-0.03229455415330335,-0.026374729030868033,-0.3171164826021292,-0.1283944111383255,0.07712628089046995,0.1403362717414836,-0.12210165319634968,-0.1111101772935467,-0.07341244309185391,0.04337911851048897,0.11513413432456863,0.1068963667823979,0.2104826934730495,-0.1007463343761892,0.013925258267738378,-0.01603373927579904,-0.05741109795383916,-0.03213686915702564,-0.08711320514112639,0.17206979334477335,-0.07918312029812799,0.04082203902165998,0.05522506806053747,0.12005221552640376,0.09698290717700798,-0.0768903492619688,0.004230958093109746,-0.2247905208012385,0.087265321392851,0.032509238611553574,-0.16117033969354386,-0.009247448611350587,-0.2330047862696902,0.004329226580289516,0.09954079594071241,-0.19805529474393171,0.004248737361743056,-0.06182161297175732,0.11568405108481927,0.1669589825133729,-0.017263409210316646,0.12836480582334983,0.126490649248906,-0.05170138714795716,-0.023922871730804887,0.0921553339878105,-0.18140803037625244,-0.09491251525390133,0.0772971766976692,-0.1100754453659731,0.08259437830387538,-0.08694051281106271,-0.01044805797584582,-0.1052172332801758,0.09327477909651194,0.015505271379037806,-0.03105575326947875,-0.060065946411907635,2603000016963,26,0001,030,3684,0.4361,3.56643749219507,3.927,8447.6038,"{""type"":""MultiPoint"",""coordinates"":[]}"
0002000000000000088e,0.15577819669872778,-0.20062246878744358,0.12108625401002757,0.08954474574233771,-0.04168900424788675,-0.1676043384181451,0.04000600053752797,-0.08791624091903694,-0.26527781796813976,-0.10454499024250634,-0.013115847085007144,0.020460321310000543,-0.17246770805704173,-0.14877897918940178,-0.09214776880803952,-0.14478986542312983,0.11255353686481862,0.06591718308239423,0.08526281104093979,-0.06518396764690093,-0.008317872601026736,0.07969520619385974,-0.14623041921331936,-0.11309151786053416,-0.06871053046837544,0.12156091712317588,0.018698450548027292,-0.022321822594638465,-0.05073543600128597,0.13654152331489755,0.15326754518827254,-0.10035586961904798,0.0030653114959550425,-0.1063397304543068,0.1683115420698278,0.09302022057913722,-0.17189944485376651,-0.12775068252325555,-0.055502067244202535,-0.037365246142899,0.03723855333157991,-0.08135732621503526,-0.10705808969789057,0.03537295882369835,-0.015755050193523232,0.05397382262113562,-0.07105731572984784,0.015621383709516877,-0.010792823154519696,-0.07238256252727815,0.0287846059914694,0.102308159650654,-0.24147823962255355,0.035686420204099366,0.13041915313192612,-0.07564623438971393,0.0032846531171849126,-0.010813815065546985,-0.048245190561793466,-0.1071671210999047,0.09018746283039715,0.02320899157935876,-0.09243297050420686,0.20873770338770312,1901802120495,19,0212,018,3685,0.3358,3.566555330883055,4.04,10973.7939,"{""type"":""MultiPoint"",""coordinates"":[]}"
000200000000000009ab,0.15268607423211616,-0.2615445737034282,0.1453116015056421,0.046650389819354154,-0.017733050260734334,-0.2272083990994923,-0.052070204082041605,-0.13424253007487155,-0.2583404812957865,-0.02169636156359949,0.03165933142617083,0.10515917180903954,-0.1692531997975755,-0.2134376929197423,-0.10940709793955064,-0.07841578332144669,0.18569107326926143,0.1140306550236841,0.10168693388498065,-0.06622275344997698,0.021816564831148324,0.09299400435435162,-0.09600882731364398,-0.06324896706367134,-0.07212602706264613,0.15103707460193092,-0.0744729179281379,0.11696330794078806,0.0012927546322594038,0.08457777884292159,0.14088931967771862,-0.08272835252871133,0.010990156641508339,-0.1903944023540817,0.17089108035390452,-0.0026533875188440204,-0.20820662788646516,-0.06998709126344556,-0.08860591259552296,0.046191756846155584,-0.001707511022405864,-0.1467060102750587,-0.08126144276612654,0.07703600905043455,0.08309239142566645,0.05647027684976347,-0.06487479749719316,0.06503534383677975,0.12107652632900409,-0.023598943501059202,0.034511868202531576,0.139578056749458,-0.286205379279434,0.04188675287776739,0.1158190130416142,-0.19915823107590364,0.07750412958647625,-0.04116069250160861,0.013182352977885472,-0.06627978094408606,0.10677921618975135,-0.030987752951871114,-0.1777649362633611,0.04732345045148733,1902600010425,19,0001,026,3687,0.3451,3.5667909123815917,4.029,10683.8598,"{""type"":""MultiPoint"",""coordinates"":[]}"
000200000000000016ca,0.07460470689449906,-0.2365018756178081,0.20874379650195155,0.08638886893788487,-0.10618491547566636,-0.07060930487128685,0.07676031803379255,0.047780204543586335,-0.2787689480202681,-0.10923436715163465,0.01351257761291118,0.06800388684677232,-0.2384605722168114,0.013350611215570359,-0.0108144296863344,0.09050835503286171,-6.169893039353335E-4,0.1188539356367826,0.06104658778181468,0.06209025464026645,-0.0035428717148282174,0.0372610186244881,0.13199878553869507,-0.07779984400273854,-0.005505939357845017,0.19783050348271708,-0.034539057632090656,0.030588286978314908,0.027635833167361342,0.1725945837351662,0.1985464825225526,-0.07060532759452974,-0.05376410551658817,-0.0781853057266726,-0.011258765924398922,0.18324024590101787,-0.037952359351408824,0.004390767478508164,-0.10503853026815912,0.01826361708461292,0.213113897748345,-0.23823878413286614,-0.0142859337019692,0.06621475227061126,0.014032259904428709,0.0666083816540847,-0.005478121431206424,0.0933145642357019,0.08153824906742688,-0.05257830120173235,0.019994486342540575,0.031055526175807213,-0.14093311385196583,0.07599398397980685,0.05043688649141886,-0.2552983683639874,-0.026001631029109212,-0.047116363999826945,-0.10829893772911105,-0.09409667084124908,0.2322490340459859,-0.07767122745316084,-0.018521348947644133,0.007474623972840411,2501100010659,25,0001,011,3688,0.8964,3.5669086552268032,3.614,4114.2347,"{""type"":""MultiPoint"",""coordinates"":[]}"
00020000000000002824,0.053943012391603457,-0.18756373051763436,0.14939594117701369,0.17904380562389524,-0.10371224575735398,-0.16746978969520537,-0.11473267080134943,0.0162463844160727,-0.30838181532560105,-0.08197571923270008,-0.02439010490355255,0.020636883401654094,-0.16443959728815155,-0.1279134558829362,-0.11690047450350256,-0.02601160372084421,0.022230402998108127,0.1671802124436161,0.007843238964609362,-0.135701882979515,-0.11056359960596154,0.04161494091572336,-0.09890970475166765,-0.0013262311584445094,-0.059385334367050555,0.13435141271396148,-0.06015752592826283,-0.05327583388810158,-0.10098574934418739,0.20913435491366897,0.1375597592926279,-0.1370545492913107,0.08456894174109265,-0.10640660928201391,0.03729288223508594,0.2658565134732513,-0.05724330674138812,-0.04512183820521924,-0.09279263279121532,0.04683255396395161,0.05817463055038429,-0.13808780371684687,-0.07764600011445974,0.08970974525765153,-0.006008970997563962,0.12244152728027186,0.020465695764115135,0.015300869658162713,0.05847993909059264,-0.12001492730702264,0.058015233119465416,0.12707436803320254,-0.20425430715352533,0.11525555025675971,0.028383730722244392,-0.14097578453126952,-0.04152344384869719,0.016009816394875226,-0.006222932501180998,-0.049883262981983575,0.029628053050442076,0.03667312080473752,0.03945029295926378,0.18202062802281008,2802700012625,28,0001,027,3688,0.83,3.5669086552268032,3.648,4443.3735,"{""type"":""MultiPoint"",""coordinates"":[]}"
