system:index,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,CVEGEO,CVE_ENT,CVE_LOC,CVE_MUN,POBTOT,area_sqkm,log_POBTOT,log_popden,pop_dens,.geo
000200000000000007e2,0.13603754069914317,-0.23917675234818675,0.15119604048154264,0.09236894629808474,-0.022319683104460718,-0.2674933807030225,-0.04472415756209715,-0.11051259023830405,-0.27964307027229574,-0.07051971733816069,0.01890250303147325,0.09798283608674409,-0.13304956069959312,-0.16210331096156916,-0.1234016454921933,-0.13166789180503535,0.12898711372500474,0.09651351853916325,0.06807619254953888,-0.09630543154628633,-0.05579920950251727,0.12504159708147514,-0.07843255611579841,-0.060168747623312625,-0.14123754061179378,0.0700480701897678,-0.04365663324261008,0.03869850236328602,-0.005849256900413578,0.10398212004709864,0.13591900651432703,-0.11858826174040343,0.0761854566764647,-0.15426366716663603,0.18339833969243843,0.07518368564249518,-0.16106790438654062,-0.07354367226282589,-0.08231605363542385,-0.04872321950818681,-0.04549851536763474,-0.1427270686715411,-0.10632511940305978,0.05497801918973071,0.030111493163181256,0.09921645071990182,-0.08706885887809811,0.08616993603361543,0.0903720262497619,-0.05923754581763349,0.037122851311347266,0.13583126292880052,-0.2218849613577685,0.043749113903905984,0.10062638725606925,-0.15234843108909282,-0.011613895236043111,-0.09259565579018025,-0.0357216127271098,-0.1822883950363815,0.06893205827942642,-0.019130093766835304,-0.08514287565469528,0.12396629874486466,1902100010950,19,0001,021,343,0.1906,2.53655844257153,3.255,1799.5803,"{""type"":""MultiPoint"",""coordinates"":[]}"
00020000000000000f56,0.03232596925673964,-0.11455666791886132,-0.0818059813632686,-0.1802684781298093,-0.17810364850471658,-0.009580238279083006,0.17542549844716535,0.0749966551966656,-0.12432253818372384,1.819562164213913E-4,-0.028283437821068323,0.13448939653058767,-0.09230415804117184,0.03495106771163281,-0.09635886276496934,0.08117129959182011,-0.030281909773620823,0.027969659605408342,0.0188426795219825,0.09389361610944842,-0.10424901326374117,0.15010507069696288,0.2318016343241962,-0.15816140408377827,-0.10484993562101222,0.004246683696026858,0.1599962627600997,0.11041224444590501,-0.09686887513249946,0.24138485240900215,0.11020442139888195,-0.04070585446743086,0.08940114623871485,0.10460451989576774,-0.09035480361554148,-0.04567840114959708,0.11341101325223273,-0.07024548169874882,-0.0634885277194282,0.017726720201483095,0.2371725774512315,-0.2072333633410574,0.17341455238460912,0.21382230424935988,-0.058850933714971576,-0.07304752578574727,-0.08611785693161722,-0.10320551508132426,0.24063330209925585,0.06247329262598858,-0.06033614524852949,-0.1816557774567189,-0.1343281235973041,0.08050271930713868,0.007218212205158851,-0.06299648753039212,0.02255943062168451,-0.029139508986775572,-0.11906134246998079,-0.06689316043823279,0.147464783410741,-0.1714811534353087,-0.19199007301594875,0.01186900516465279,2301100010077,23,0001,011,343,1.709,2.53655844257153,2.305,200.7022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00020000000000001127,0.06848331032146955,-0.18583306487928802,0.19362562883106157,0.06787048804148439,-0.17677374357955666,-0.05224426863190411,0.11607582587782164,0.08479012250615794,-0.28545985882439767,-0.17053889201070682,0.054830150150472566,0.06521387097101744,-0.1866116555612088,0.06834313810339118,0.04759509513515144,0.06409594073133652,-0.05697001906208757,0.10049413277869979,0.0024929094138834186,0.15817867852018294,-0.04497012192772654,0.048805519493691885,0.14668227861051886,-0.10620638227827289,-0.023608413639510887,0.1974020872263676,-0.006854388305373968,-0.037262028283206496,0.10048714097024183,0.1831414261220698,0.19545800577118094,-0.10029620047887434,-0.0378084783267829,-0.02290719367358557,-0.01872346784191281,0.26811737578685,-0.007181765516977956,-0.0015913342663024588,-0.10148418833723631,0.0047551553973216535,0.2365749684542762,-0.22879730616113506,-0.0013574354639382027,0.024187302701723278,-0.026373361005537495,0.03877458070264947,0.002787709102520704,0.11096751052468247,0.0715885573359948,0.00643633297778954,-0.023587322536418733,0.002587314617901323,-0.04213926417802235,0.13800025289054343,6.840938281970378E-4,-0.20457413650149733,-0.028598641779249104,-0.05319091295140329,-0.16845790940812294,-0.08700401983719257,0.24636581865523702,-0.0908046365114205,0.02050537977659007,0.06715049155661097,2500101602150,25,0160,001,343,0.1247,2.53655844257153,3.44,2750.6014,"{""type"":""MultiPoint"",""coordinates"":[]}"
000200000000000013ad,0.024145498467173697,-0.14515034890493958,0.15590707410470975,-0.03725868401413015,-0.13335167904884115,-0.11427402330444981,0.027846049045452986,0.07555327042707931,-0.22323313757596297,-0.18014714563099926,0.10814355381102242,0.1283306375201674,-0.294795840793382,-0.06230977506667896,0.06069561298539158,0.13888765633499991,0.07715246867993032,0.19949304206613264,-0.0055689909371979705,-0.010075010339646582,-0.07895142609861537,0.11279266826609212,0.1568126919253959,-0.020242866363615015,-0.04519116031143697,0.09174819052658749,-0.05339783034484052,0.05934991071553783,-0.028743833434704418,0.17560568323456582,0.16908619596445548,0.11994992381346391,0.09284771558670929,-0.07569597664265819,0.086740995008711,0.060607438499265115,-0.018392630615719375,-0.012499601583091907,-0.046547934662750326,-0.01740107181162405,0.1266074848424917,-0.24371390378966148,-0.09433282002356504,0.15440449208258009,0.1623284782972317,0.044734596848905385,0.012325215278248872,0.10956948535380467,0.04680133361420044,-0.08328941494026748,0.08968364354649908,0.060947955785771675,-0.14802036079950107,0.035498396154940125,0.07260294537883837,-0.196970611390246,0.0017885119548719393,-0.10673745046939938,-0.08645684078882235,-0.14201282654422795,0.18645535292733945,-0.13165055022207536,-0.03520020541542974,-0.048624191715606065,2500600017270,25,0001,006,343,0.1215,2.53655844257153,3.451,2823.0453,"{""type"":""MultiPoint"",""coordinates"":[]}"
00020000000000001997,0.10399377168500343,-0.008000534207623948,0.24243649579884627,0.05594607421862006,0.025924488229800105,-0.11691528351012788,0.08240534854268382,-0.0508518539549404,-0.27071129103154024,-0.14042541638146033,0.04497655583938415,0.04315356809336971,-0.15232607124881542,-0.10994419544623622,-0.02345761024029835,-0.0790452409148838,0.03946686308903042,0.0943555215808394,0.23956052238357287,-0.1131095540071127,0.04976878934376622,-0.046941865212607896,-0.0530398951080036,-0.1126471176079567,-0.18837996371323296,0.17042621304064115,-0.14613162996926155,-0.01802424729318542,0.10017124179787217,0.14502590351167421,0.13494540261798213,-0.03584609738931094,0.033344149857295335,-0.21385653411379524,0.12412003899321816,-0.00750499950900406,-0.16858721118575784,-0.03014176869063023,-0.29244639869445377,-0.11761733287223632,0.0886032404444383,-0.19485154101032143,-0.025981148527012353,-0.1587078596496035,0.11170623044828029,0.26265276309074304,0.019557511295297512,0.11017573002438988,0.06947861432483594,-0.04917694072477887,-0.04257099721930576,0.10648681087501413,-0.1643850171603031,-0.05452868734172252,0.12755192037077023,-0.02131190599460795,-0.092297706192517,-0.09715641050742625,-0.005225774666940606,-0.10918918562352435,0.06834896303150094,-0.06644599942746945,-0.0321735026674543,-0.05397785456649404,2600200010781,26,0001,002,343,0.082,2.53655844257153,3.622,4182.9268,"{""type"":""MultiPoint"",""coordinates"":[]}"
00020000000000003e8a,-0.018078606006016983,-0.19783289023000186,0.08048153315273472,0.10226892328086189,-0.019084638707003655,-0.0059732347056581335,0.052896875970842056,0.048605705153186296,-0.06936911457254306,-0.163022314794912,0.06461071086448414,-0.11189425873018884,-0.1609376952500752,-0.0590729708311426,0.07247542896393123,-0.09849570363105409,-0.3149180392190915,-0.011024760575978931,0.12933370862364676,-0.15258778397590503,-0.005916278302812725,0.00917210932567649,0.16076096003707016,-0.07762319088808338,-0.24250521104735157,0.07008124837874001,-0.009711499623248703,0.014475646673234694,-7.210069245188079E-5,0.025489363466587055,0.03200504740422385,0.020281418117401993,-0.02729639562309497,-0.012753386506786977,0.07126817972467055,-0.02621894062651337,0.04593733954862555,-0.11332137486908868,-0.061566299600231744,-0.18941007444844493,0.18292728231200656,-0.09812386290087184,-0.053224987617994685,-0.2022440026607256,-0.03333648143456506,0.10819362256766146,0.1534095843457872,-0.0693022728643473,-0.1793451778322011,-0.24984319022059767,0.030501239230651477,0.1607702775577694,-0.04877759323195802,0.07705289536726814,0.09236370483378724,-0.03949941327777752,-0.2239845942016688,-0.06633533980603841,-0.0832944043000627,-0.2741980423686825,0.04471754387461539,-0.0832087686752285,0.13091324865048973,-0.03869783010072923,080180026,08,0026,018,343,1.0253,2.53655844257153,2.526,334.5362,"{""type"":""MultiPoint"",""coordinates"":[]}"
000200000000000045af,0.0728225251120953,-0.05573768101059565,0.20372219857350463,0.20823636899213513,-0.02758755962444298,-0.12641273686622567,0.023545891793594297,0.09854687384628584,-0.33217230188240987,-0.12880166658294434,0.0788200185948628,0.03595957443336332,-0.20372048769085654,0.039941123900570724,0.04615983676620049,0.01391327000726948,0.010064404202467415,6.40455508220524E-4,0.21805775870990504,-0.0628880588255665,0.013785072817071446,0.02215171204799611,0.03298394498838078,-0.16392327737195153,-0.1951908502207041,0.10945005491737542,0.009170206891639167,-0.01799070860567843,-0.11378905384464973,0.16161473148025426,0.01766260473178224,-0.08522971214805516,-0.05670176101733736,-0.2277128155868185,0.05259549435565288,0.018494335173177043,-0.12039134707316435,-0.021487323107586432,-0.23365977106647118,-0.07211882044508762,0.25057658254464166,-0.08329702581091702,-0.05473534161354273,-0.12136867395548122,-0.0653914480836152,0.1594730798070975,0.08947947404220206,0.08825134690354575,-0.017726412174760675,-0.08863191584365358,-0.008080462172237584,0.09909272857143817,-0.08473176814206965,-0.0888152299499725,0.10492279229773403,0.12115082320265357,-0.095541784173986,-0.019625103590303884,-0.1420272889626542,-0.24075422019681716,0.03334018416547605,-0.01726269419236561,0.07800847700544662,-0.012658970658586673,100070057,10,0057,007,343,0.1178,2.53655844257153,3.464,2911.7148,"{""type"":""MultiPoint"",""coordinates"":[]}"
00020000000000004d6e,0.07315548875450738,-0.1324071315464441,0.08227366676453958,0.235097293804632,-0.010140883568021375,-0.12330162275000199,0.012434937518514965,0.022788462575131008,-0.2264635816131163,-0.1345372112716411,0.028347331236562922,-0.09690187817572841,-0.26422737751549935,-0.028018973396340796,0.034840681276970514,-0.07415814185695102,-0.030411893788321837,-0.01674982398979107,0.16210729267658708,-0.10362232986060049,0.05415983314373092,0.053244585825603055,0.07252835306785567,-0.13847117464803038,-0.23937086565472482,0.1108365308176795,0.08292428522044666,0.03894965795021383,-0.15459700643942934,0.1283500753886445,0.05561893870589856,-0.0773907928926413,-0.015439458436414514,-0.15608979369270654,0.14031679741767691,-0.04953970072261242,-0.03905243963324825,-0.10296260913283328,-0.1461232974707308,-0.014838590763884867,0.19235806203531197,-0.06555543395277226,-0.14908909684310825,-0.017401155416523505,-0.11440747552272955,0.049078552258406044,0.059703254543437355,-0.02290762627090052,-0.11597840356542408,-0.22257964870375932,0.025976748124957,0.1338908830014851,-0.12659575018681263,-0.004428774743292525,0.15139099632940095,0.07907311946796133,-0.16031003732474816,-0.005881473731352724,-0.17163264954470336,-0.27213974067765506,0.05005623418671092,-0.045208108001136955,0.07411444072277326,0.036833199439796495,240220043,24,0043,022,343,0.3991,2.53655844257153,2.935,859.4337,"{""type"":""MultiPoint"",""coordinates"":[]}"
000200000000000053a4,0.14471936172128697,-0.13294860355683982,0.06881589224765285,-0.014676138008620875,-0.1670253468353078,-0.14294199252518103,0.15151305244199476,-0.07535994731403518,-0.34039925455177783,5.924673770498263E-4,0.030669199455730673,0.013280352356687033,-0.2142463245549773,-0.1037829674377465,-0.0871570782146678,-0.07931886605870467,0.20332781865500904,0.05442450014691313,0.1115000317783403,0.16866629159546567,0.12708014429188816,-0.00847132773930214,-0.167482624092022,-0.10714343510675801,-0.003550143953625517,0.14171236940802,-0.004895708529429875,0.02955030732360541,0.009725311186631069,0.15416710609102474,0.1781569739055487,-0.01969340005327572,-0.18223916814425803,-0.06167453958066312,0.06853526172317781,0.06816251786986355,-0.17460701857989966,-0.036596444779464984,-0.06550280687856729,0.0679150959744364,0.14460455240476938,-0.13287121181824088,-0.09749239768317564,0.06790627424814799,-0.020048791629740166,0.015221657603763702,-0.04815356566653456,0.026298183971752577,0.00951498350687634,-0.008625614945275332,0.003549134569390668,0.09788684610450318,-0.146427870477879,0.04301192779797288,0.1026991309169455,-0.16222090917127127,0.12643151143759576,0.08421751104668351,-0.07294574461727876,-0.042078334958015814,0.12876650161180644,-0.13946317352541432,-0.26014246319783074,0.0941922179857881,0300800541636,03,0054,008,343,0.0585,2.53655844257153,3.768,5863.2479,"{""type"":""MultiPoint"",""coordinates"":[]}"
00020000000000005bd3,0.04791401749903583,-0.2704694062060868,0.14721007003379585,0.20091412090428137,0.005690000018778662,-0.20973350005059246,-0.13041110457581964,-0.03868106441721316,-0.24105606213998776,-0.14913980843183045,-0.020723061370587822,0.042575689323782966,-0.1312536504936794,-0.24395030856005986,-0.08945386160169141,0.036326696516742786,0.04086884585088052,0.15144405742921058,0.12411221548477096,-0.10007755259485372,-0.0777913861979034,0.1201126720491669,-0.02836005471897085,-0.03827724902680618,-0.0910388945621109,0.11583174445322308,-0.04832319255053875,0.08636599416607718,-0.10015617954703068,0.1498882673152525,0.09263877079280466,-0.11948671932879575,0.07093826242678375,-0.10765867663760387,0.135273495499708,0.034623778987191524,-0.14133294319135029,-0.08129538164840898,-0.18336279777706094,-0.03113808498684134,0.04547053121129387,-0.1448519809159681,0.03789864817651255,0.10591697951811617,0.04728479879053276,0.16825251430756138,0.022507609892904047,0.021569780646884487,0.22176354716865626,-0.16030623847716657,0.018843685839271762,0.01857055538808031,-0.2670240116182276,0.05037562966668273,0.05307971979069817,-0.05352584915549548,-0.038871729530932285,-0.03792415527315763,0.029586260780491824,-0.052618529350421876,0.03704048050280453,0.03494707793348374,0.01376722291758896,0.07000149913650966,0503800010941,05,0001,038,343,0.2318,2.53655844257153,3.17,1479.7239,"{""type"":""MultiPoint"",""coordinates"":[]}"
