system:index,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,CVEGEO,CVE_ENT,CVE_LOC,CVE_MUN,POBTOT,area_sqkm,log_POBTOT,log_popden,pop_dens,.geo
00000000000000007341,0.10680159441680823,-0.1963012129278879,0.007034511107971121,-0.007750573975099087,0.05400355007670812,-0.13149865159523672,0.093629702841538,-0.046610591489703125,-0.23045667906021902,8.444449524405605E-4,0.008412315339378033,-0.08603134722661035,-0.3546008364566849,-0.06755340617779683,-0.011348020332498024,-0.20087616229373553,-0.03536469075688687,-0.005749610262721866,0.043822999007875695,0.021799942814803425,-0.02473496685479592,0.11562137387488455,0.018836833565307784,-0.19977216415510335,-0.0506952605733764,0.1440494459386151,0.022452281241407943,0.00419607565306992,-0.03476106225181316,0.0479661133521351,0.026568349830404882,0.08015352628532996,-0.1211369353879003,-0.05516299168275316,0.2083010626496547,-0.05799323811519832,-0.09841011911225206,-0.08902065778470392,0.042970279746087116,-0.1340032797547443,-0.005700684972121867,-0.08834357135109641,-0.27321953391246406,0.13221828892253965,0.052703411615284385,-0.06192267913231332,-0.0666382631584311,0.02226620578993131,-0.16534783352562946,-0.08433359595350438,0.13060867746419952,0.11945897442207612,-0.11261035389247627,0.006190414938658108,0.18451196750089024,-0.08572968994267781,-0.07737026177776349,0.025846340574219667,-0.1723236779417731,-0.19011863022278902,0.20252341757212533,-0.11399742075235776,-0.16791404497579532,0.02295198639613697,1412100010243,14,0001,121,2911,0.4854,3.4641913706409997,3.778,5997.1158,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000008d44,0.05715452351286146,-0.27225476950752026,0.10356861402188602,0.1492790729775269,-0.01325484405623704,-0.13381726459488277,-0.017891332262254374,0.045817382424917015,-0.23613574529888007,-0.12645990190921474,0.058804977053138904,-0.09190083020567849,-0.25079580829138753,-0.048917026975091274,-0.03620811525493232,-0.02645201152826685,-0.0933401320433249,-0.003339093000330126,0.11323265537788883,-0.07373254556056395,-0.020991787506470384,0.03758964795126978,0.1322745467528157,-0.17042196318916852,-0.1337011384331765,0.11637483524815452,0.07875476055289174,0.04414834457310839,-0.14552974368999533,0.07450394814603772,-0.03278332608254428,-7.258446660727062E-4,-0.13922743151722,-0.08223325092683557,0.15501896522721026,-0.06347926253183961,-0.028244550131535463,-0.12986492066736868,-0.11429731566497801,-0.028817330022592867,0.11722698884397742,-0.1092774278705848,-0.1953934969931188,0.04731430736542538,0.0526387382405256,0.05562112210501073,-0.044621279110929696,0.03547826821771503,-0.139085804986808,-0.12406257456641658,0.055914239252216745,0.16761658898468462,-0.11062690154671362,0.012378311441213603,0.10500732791648885,-0.023954927152396218,-0.057593059585390675,0.03873617162869509,-0.20685969141120006,-0.22449141176515153,0.1349641491954383,-0.03434749430858726,-0.03200242146899764,0.034006823932161645,1102000013294,11,0001,020,2911,1.3881,3.4641913706409997,3.322,2097.1112,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000006a35,0.1156376297466229,-0.2110719859939664,-0.020696422980757537,0.04983191687399339,0.02154833354303459,-0.11285277066182495,0.14005849379988372,-0.03971740092664836,-0.2665024879829238,-0.03272289071507387,-0.005276665826183372,-0.12060890733246138,-0.2879169505835386,-0.06873568388509138,-0.08215982549388995,-0.21123561169866092,-0.009779333775588617,-0.01590195883662458,0.13328627711179072,0.018297531160802318,0.07343219006859777,0.03553548448858903,-0.01999279415804973,-0.23675885557190673,-0.05141306395708693,0.160158267336202,0.031508119892487994,0.019309316615433437,-0.08077440299613024,0.053216074716574954,0.013944453240715596,0.05044037097442835,-0.1586674032922204,-0.039668568969949726,0.22098575093706163,-0.12115429385073213,-0.1573858948456415,-0.14060170427744817,-0.027102138604219898,-0.11177582103737409,0.06810381474753462,-0.06676055653479998,-0.20469705472878885,0.036401783552514694,0.04754089569488117,-0.027833689296493748,-0.07983418908304207,0.012430191033251343,-0.16955970654043473,-0.06418047203175477,0.08371735956596471,0.13355099370010035,-0.13209197001031225,0.025463269994259227,0.19562948773440123,-0.03939722940230711,-0.0709819158895396,0.08040445317249946,-0.15840244560849143,-0.18707638416118974,0.1389314920975494,-0.04396573986208988,-0.2445330723214458,0.12427495162850609,1407400010078,14,0001,074,2912,0.4382,3.4643404846276673,3.823,6645.3674,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007765,0.1688014102076749,-0.10027203880827752,0.18359491048410415,0.040601866993716,-0.04745860087885069,-0.16086494131670437,-0.0034142246133943006,-0.07727915663677049,-0.33821641987983775,-0.0762535349632636,0.13650604365209212,0.1823040882592111,-0.15094230770195102,-0.10021876526152594,-0.014162209101314892,-0.01735738268772614,0.18456461360762852,0.10917820687725106,0.21726438638016352,-0.00487779544180875,-0.00186608718207777,-0.07575851292945211,-0.14478218791198358,-0.10878437221273364,-0.08769165451479513,0.1381295378669742,-0.138538908849408,0.033437343559315005,0.14021502649513648,0.05880131365429731,0.08774853573092507,-0.07798203581056838,-0.04432967179642306,-0.197212665964895,0.04475648640983087,0.06365005595626672,-0.22374902427576104,0.05343305475899564,-0.240986171194235,-0.02383145313910825,0.06256307030537045,-0.18866540535517984,0.010183817179590889,-0.016732361634997108,0.14640226498134723,0.10404145765872924,-0.04228947517258489,0.12740049309417636,0.15836150613924652,0.07186768738523812,-0.0010327099421260106,0.057795351854960104,-0.1094126785411342,-0.11666114656928009,0.0698094380967387,-0.04346441064856626,0.051570120331936635,-0.0517587871959543,0.02883691201483712,-0.15219904291391737,0.11589506541601907,-0.043521277994364345,-0.22099221823205364,0.029815996933549943,0200200010540,02,0001,002,2913,0.5055,3.4644895474339714,3.761,5762.6113,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000096c,0.10164938953704371,-0.21890227273991913,0.03464885163600596,0.014031203892558106,-0.001179152334348847,-0.1292413513721832,0.10175998057648121,-0.010572683854659176,-0.25373386079118027,-0.037309241550797,0.0014222714064069488,-0.08184139896959339,-0.3043368144778229,-0.05464238392736827,-0.04300230638750301,-0.15779236810186423,-0.035884303858160854,-0.031864181187280516,0.06597482418047508,-1.648537184677457E-4,-0.015774535610857805,0.07649253470639662,0.01749580626846061,-0.20815748129584574,-0.02286460212924363,0.15909641524806414,0.03915344936384369,-0.002108809054706633,-0.0577162089050275,0.044657500489603374,3.2755198723559843E-4,0.05736381719537501,-0.15419970435690278,-0.039595598248531066,0.23048017070275947,-0.054304750464114766,-0.10387106308874829,-0.11225642964401392,0.027231568975006993,-0.11131034776766957,0.021187005139858,-0.08420172822278923,-0.2565811821491822,0.10865372241239722,0.049150564832991524,-0.045316444536193885,-0.09605803038490719,0.056549127438594235,-0.15151516408292867,-0.055221310526041935,0.11514921121912536,0.1495588492295276,-0.09894860034199629,0.012920571979594809,0.15250531735049233,-0.025550793153730083,-0.043053907674638986,0.048311156391480765,-0.20801022830607496,-0.16973977928548564,0.19977282970196467,-0.05985131060052532,-0.19480948216466765,0.09637106705568506,1610800010698,16,0001,108,2914,0.5763,3.464638559095033,3.704,5056.3942,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c82,0.01880636589952038,-0.24362325156937253,0.1465498596653556,0.014354490032921203,-0.11411094225828124,-0.09038155926769526,0.09623288856375484,-0.016785976414718455,-0.2860342200542698,0.001586427880087893,0.028269200441841964,0.06949502507985678,-0.2407221449855915,0.004484486741718865,-0.0781609252558414,0.037051316508730454,0.10681488054923598,0.12068169403626788,0.0425410639530247,0.10292785185115325,-0.07075606735571428,0.20415120853882654,0.09764899876430234,-0.0788777858983839,-0.015706408534508297,0.1578121181804426,0.03418361926433131,0.09012985584632116,-0.06356033682133322,0.12894115748356472,0.14247092556773108,-0.025036866390375213,-0.11784121644571113,-0.0711415178514355,0.030118057203762046,-1.9624474392559996E-4,-0.050605582815430844,-0.012612844855148226,-0.019229096396002336,0.06056003399486742,0.21073262458985248,-0.22851215194930038,-0.032710269559132005,0.1756774981314347,0.007736166698717141,0.04277967600045381,0.0259067421723081,-0.0012967457859534577,0.11899474544770665,-0.05521686368023024,0.06006121696540986,0.058624338661886315,-0.13690277454280253,0.08870853121618308,0.1108105344500562,-0.22107370072700672,0.029368150098970158,-0.08766956789515272,-0.15289889822526526,-0.1845130906978081,0.243826169106092,-0.11482741828218236,-0.05252832189142451,-0.0327650410871604,1802000840107,18,0084,020,2914,0.5289,3.464638559095033,3.741,5509.5481,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000006048,0.014590154364399784,-0.17626226978518014,0.16604342075495093,-0.0323490068090208,-0.06822354702435526,-0.16401877409265703,0.02310884443305913,0.08340398921153809,-0.215427105830097,-0.11387962918388256,0.08562111619009549,-0.023112693645030307,-0.293683881471195,-0.06506288453529649,0.036006330268129674,-0.012583703425716842,0.05672138777517089,0.05956581778035952,-0.013216184670118642,0.02009590198727517,-0.1056146067885671,0.11496898544788978,0.16738293253831135,-0.10211261626227235,-0.053004095851526864,0.044523397914125205,0.06703905962729595,0.04344831218579722,-0.10391857341449583,0.050796355973235244,0.07263835315655434,0.1259921474550534,-0.048118864051287215,-0.03278063011762599,0.1662766014095465,-0.10767492047740573,-0.08034779361330723,-0.09074981877219271,0.04112939112994088,-0.07777301927803071,0.03906612065991118,-0.09333643088306791,-0.2915883908034853,0.21764477720290057,0.09149226306628967,0.027297480891444292,-0.005820664373526072,0.15283466179276506,-0.14725318913232643,-0.17782272179133435,0.09874853947302427,0.150167672905551,-0.026964065933452668,0.04536171223616248,0.15621720838712694,-0.040935413360817643,-0.01569591362522479,-0.0672231380728931,-0.13034765607073806,-0.2057653669421641,0.020154039818965967,-0.13218994196680292,-0.017004840742290576,-0.07480846953173821,1206600010382,12,0001,066,2914,0.4189,3.464638559095033,3.842,6956.3142,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007921,0.07416124478968687,-0.1609541332735735,0.14195432996800364,0.13788886003612402,0.07549320129741903,-0.042107647150869267,0.06321379002834322,0.03365025882522882,-0.1270552412551339,-0.1118273556069598,0.08139953768312669,0.023709018241319556,-0.17228093777502973,-0.1472533724810463,0.010286627150769957,0.033419837886405936,0.06917438047981306,0.10109773996118505,-0.030485311393903623,0.015840475401513617,0.0746636094064973,-0.017220911881887117,-0.00971575920296987,0.02039385850321066,0.040654994643652506,0.2362230834152919,-0.05291910835399078,0.11726225909711656,0.1035614742665202,0.11997886671297346,0.10582979754209823,-0.01831228724183868,0.05505455119613301,-0.11136103513806478,0.08105149053735547,0.013108525301573332,-0.09454992353132358,-0.034789609252143576,-0.25346608713322455,0.15438547527052493,0.15279823913171237,-0.32308254655561613,0.027146373473016162,-0.07234261061229483,0.12266180527676383,0.14331843242045272,-0.017194164944351338,0.11047733539232314,-0.017245191005301176,-0.06682982175717987,-0.05190976487298056,0.1399343983012617,-0.059505386474815784,-0.009078316350914743,0.006052111774547698,-0.3006862198134587,0.1646836773007669,-0.10021940767929623,-0.07964982447606601,-0.05185334447793503,0.13956984280730672,0.011471671576946962,0.042449703754682926,0.0032026581361610353,0200400015175,02,0001,004,2914,0.5812,3.464638559095033,3.7,5013.7646,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000225b,0.03304227671570204,-0.22607815493206831,0.20449074638867143,0.04349414020169849,-0.10061425819283501,-0.19375014349804962,-0.05027799973688094,-0.0692632112908879,-0.3007156677293183,0.025756263684023905,0.09128313203388959,0.16745430013580853,-0.16771974842560877,-0.0848305044955837,-0.1423129148803226,0.05089893244550929,0.192601974076238,0.06930562172357749,0.045293315721721045,-0.09224569662215247,0.02195376205715203,0.17968080465212669,0.02013811213623643,-0.043508002227475744,-0.05634999570584767,0.10772927147495373,-0.03668135107143048,0.13943670275628253,-0.012268000729831648,0.09283730428889957,0.1567710458846833,-0.03536953934924976,0.0081163832863552,-0.15382307287352773,0.07512273705429359,-0.024818245716789734,-0.23087302299051984,0.028394006499300073,-0.10311803849035148,0.05928589948302319,8.188077767386569E-4,-0.13436042675490772,-0.08478888340413514,0.10035882066338576,0.03752612857171067,0.12234791317223134,0.01118275984093739,0.09276672520010897,0.16044156745976798,-0.026213471530259543,0.04086025698854269,0.17521957657291415,-0.26660995690544886,0.019889659434476997,0.0805851962886569,-0.25107262250390605,0.07891216524920176,-0.06374896301491101,0.08704519461486415,-0.043190646514998605,0.07896091979148114,-0.06270013600303911,-0.10333624382433645,-0.10274901274976264,3019300010453,30,0001,193,2915,0.3924,3.4647875196459372,3.871,7428.6442,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000011cd,0.10762187034011583,-0.24868010428048945,0.09017533984743052,0.022777085631768747,-0.008632082266174776,-0.18305250241518492,0.09025662846491818,-0.047566476191864694,-0.20136321737493326,-0.0029518895921126337,0.021438709931656245,-0.0843259060477939,-0.30568123734827307,-0.08888119606064783,-0.032308825492141216,-0.1643084839024921,0.038759219062734405,0.048454085475303846,0.06984428498674812,-0.01925710975609675,-0.01305645969701478,0.13891461362871171,0.042000052604745396,-0.1313675136459886,-0.06605452387599807,0.08205179888768192,0.06715667047355373,0.03777382841804077,-0.07945752462908288,0.05254179054116463,0.06209051618852235,0.03616418291363292,-0.0963077455870019,-0.03993463108435995,0.19900641091220225,-0.10466871106094516,-0.13564018251178125,-0.11779253273399339,-0.0019958648191454728,-0.10443858396990498,0.007668397576256503,-0.0724613547164544,-0.2860510282205094,0.14556347985123086,0.0173701195945395,-0.008891112396798873,-0.06503723600783298,0.04269195730666695,-0.14233816834602028,-0.11241816261010282,0.08233503380487173,0.13547905321704842,-0.11611154799650632,0.03599103954997142,0.15513008548650678,-0.10816422504282443,-0.037809009296048086,-0.0023611082149248516,-0.14168227156991908,-0.22413501047204765,0.06823837548123424,-0.07295531800398498,-0.1504002007259989,0.015234023797848583,2003900010110,20,0001,039,2916,0.583,3.4649364291217326,3.699,5001.7153,"{""type"":""MultiPoint"",""coordinates"":[]}"
