model,state,r2,mae,rmse,n
ridge,01,0.4656546711921692,0.5118625164031982,0.7592652440071106,820
ridge,02,0.5143474340438843,0.6853964328765869,0.9691875576972961,2241
ridge,03,0.4022400975227356,0.8944529294967651,1.2653989791870117,1024
ridge,04,0.5232056379318237,0.5324437618255615,0.7455675005912781,922
ridge,05,0.5236297249794006,0.7073992490768433,1.0493872165679932,2579
ridge,06,0.42001861333847046,0.6447768211364746,0.9851009249687195,681
ridge,07,0.36456936597824097,0.6501849889755249,0.9271913766860962,5742
ridge,08,0.5141404867172241,0.754582405090332,1.0762165784835815,3940
ridge,09,0.1907680630683899,0.631645917892456,0.9319677352905273,2472
ridge,10,0.45851337909698486,0.6728284955024719,0.9395826458930969,2863
ridge,11,0.3129804730415344,0.6985410451889038,0.9853773713111877,6659
ridge,12,0.24901938438415527,0.6957389116287231,0.9714226722717285,4408
ridge,13,0.5276013612747192,0.6397128105163574,0.8723568320274353,3640
ridge,14,0.527099072933197,0.6591745615005493,0.9336819648742676,6303
ridge,15,0.5416553020477295,0.5613523125648499,0.8462656736373901,6566
ridge,16,0.4083036184310913,0.6006851196289062,0.8520338535308838,5212
ridge,17,0.32644152641296387,0.6045506596565247,0.8760884404182434,1651
ridge,18,0.18699705600738525,0.6793674230575562,0.9168674349784851,1370
ridge,19,0.6282787322998047,0.6910825371742249,1.0854805707931519,3571
ridge,20,0.3182429075241089,0.7376601099967957,1.0152606964111328,5973
ridge,21,0.4813077449798584,0.5562474727630615,0.7811552286148071,4542
ridge,22,0.3510695695877075,0.6538771986961365,0.9923757314682007,1679
ridge,23,0.5015232563018799,0.7323291897773743,1.070083737373352,1313
ridge,24,0.4757450222969055,0.6427138447761536,0.9140372276306152,3569
ridge,25,0.3539188504219055,0.6945093274116516,0.9452759027481079,3497
ridge,26,0.4178071618080139,0.8185509443283081,1.1925429105758667,3712
ridge,27,0.16722524166107178,0.7100749015808105,1.041308879852295,1401
ridge,28,0.5818662047386169,0.6180074214935303,0.917880117893219,3550
ridge,29,0.469219446182251,0.5909743309020996,0.8277074694633484,889
ridge,30,0.2886936664581299,0.5926963686943054,0.8352541923522949,8682
ridge,31,0.471379816532135,0.5442641973495483,0.7848339080810547,2019
ridge,32,0.2749361991882324,0.6734265685081482,0.9286510348320007,3074
xgboost,01,0.5618090629577637,0.4690519869327545,0.6875656843185425,820
xgboost,02,0.6118831634521484,0.6149612069129944,0.8664156198501587,2241
xgboost,03,0.5028976202011108,0.8331654071807861,1.1539499759674072,1024
xgboost,04,0.6082214117050171,0.4540332853794098,0.6758366227149963,922
xgboost,05,0.6230523586273193,0.6164997816085815,0.9334777593612671,2579
xgboost,06,0.49191153049468994,0.5865775346755981,0.9220263957977295,681
xgboost,07,0.5210736989974976,0.5531556606292725,0.8049514293670654,5742
xgboost,08,0.5960732698440552,0.6788016557693481,0.9812861084938049,3940
xgboost,09,0.4494081139564514,0.4849095046520233,0.7687397003173828,2472
xgboost,10,0.4920954704284668,0.635736882686615,0.9099806547164917,2863
xgboost,11,0.3974630832672119,0.652786135673523,0.9228048920631409,6659
xgboost,12,0.37367284297943115,0.6326012015342712,0.8871448040008545,4408
xgboost,13,0.6882727146148682,0.503413200378418,0.7086426019668579,3640
xgboost,14,0.5707128047943115,0.6178393959999084,0.8895858526229858,6303
xgboost,15,0.6598301529884338,0.48899412155151367,0.7290520071983337,6566
xgboost,16,0.4856832027435303,0.5480062365531921,0.7943698763847351,5212
xgboost,17,0.4400923252105713,0.5487304329872131,0.7987640500068665,1651
xgboost,18,0.3250501751899719,0.593124270439148,0.8354034423828125,1370
xgboost,19,0.6916767358779907,0.6186966300010681,0.9885907173156738,3571
xgboost,20,0.48171526193618774,0.6226937770843506,0.8852113485336304,5973
xgboost,21,0.6129919290542603,0.4749634861946106,0.6747493743896484,4542
xgboost,22,0.523215651512146,0.5806441307067871,0.8506248593330383,1679
xgboost,23,0.5907456874847412,0.6357054710388184,0.9695985913276672,1313
xgboost,24,0.579899251461029,0.5766903758049011,0.8182185888290405,3569
xgboost,25,0.4703958034515381,0.5979145765304565,0.8558364510536194,3497
xgboost,26,0.5444334745407104,0.7141438126564026,1.0549125671386719,3712
xgboost,27,0.31391364336013794,0.6460272669792175,0.9451597332954407,1401
xgboost,28,0.6415557265281677,0.5622193217277527,0.8498439192771912,3550
xgboost,29,0.6694865822792053,0.44838571548461914,0.6531515121459961,889
xgboost,30,0.47133517265319824,0.5003561973571777,0.7200796008110046,8682
xgboost,31,0.5231401324272156,0.5093812346458435,0.7454203963279724,2019
xgboost,32,0.3567093014717102,0.6226792931556702,0.8747180700302124,3074
