ENTIDAD,MUN,LOC,AGEB,CVEGEO,POBTOT,log_POBTOT
32,001,0001,0116,3200100010116,1303,3.1152775913959014
32,001,0001,0120,3200100010120,928,2.968015713993642
32,001,0001,0135,3200100010135,88,1.9493900066449128
32,001,0001,014A,320010001014A,145,2.164352855784437
32,001,0001,0154,3200100010154,11,1.0791812460476249
32,001,0001,0169,3200100010169,4,0.6989700043360189
32,001,0001,0173,3200100010173,0,0.0
32,001,0001,0188,3200100010188,129,2.113943352306837
32,002,0001,0081,3200200010081,824,2.916453948549925
32,002,0001,0096,3200200010096,526,2.7218106152125467
32,002,0001,0109,3200200010109,149,2.1760912590556813
32,002,0001,0113,3200200010113,120,2.0827853703164503
32,003,0001,0055,3200300010055,552,2.7427251313046983
32,003,0001,006A,320030001006A,644,2.8095597146352675
32,003,0001,0074,3200300010074,19,1.3010299956639813
32,003,0001,0089,3200300010089,6,0.8450980400142568
32,003,0001,0093,3200300010093,25,1.414973347970818
32,003,0001,0106,3200300010106,15,1.2041199826559248
32,003,0001,0110,3200300010110,4,0.6989700043360189
32,003,0001,0125,3200300010125,181,2.2600713879850747
32,004,0001,0067,3200400010067,1246,3.0958664534785427
32,004,0001,0118,3200400010118,295,2.4712917110589387
32,004,0001,0122,3200400010122,30,1.4913616938342726
32,004,0001,0137,3200400010137,706,2.8494194137968996
32,004,0001,0141,3200400010141,605,2.782472624166286
32,004,0001,0156,3200400010156,5,0.7781512503836436
32,004,0001,0160,3200400010160,4,0.6989700043360189
32,004,0001,0175,3200400010175,10,1.0413926851582251
32,004,0001,018A,320040001018A,0,0.0
32,004,0001,0194,3200400010194,0,0.0
32,004,0001,0207,3200400010207,0,0.0
32,004,0001,0211,3200400010211,4,0.6989700043360189
32,005,0001,0064,3200500010064,3347,3.5247854493212225
32,005,0001,0083,3200500010083,2449,3.3891660843645326
32,005,0001,0098,3200500010098,1644,3.216165902285993
32,005,0001,0219,3200500010219,3020,3.4801507252732806
32,005,0001,0223,3200500010223,1828,3.262213705476417
32,005,0001,0238,3200500010238,822,2.91539983521227
32,005,0001,0261,3200500010261,80,1.9084850188786497
32,005,0001,0280,3200500010280,210,2.3242824552976926
32,005,0001,0350,3200500010350,853,2.931457870689005
32,005,0001,0365,3200500010365,1338,3.126780577012009
32,005,0001,037A,320050001037A,1142,3.0580462303952816
32,005,0001,0384,3200500010384,931,2.9694159123539814
32,005,0001,0399,3200500010399,2021,3.3057811512549824
32,005,0001,0401,3200500010401,1496,3.1752218003430523
32,005,0001,0416,3200500010416,2128,3.3281756614383227
32,005,0001,0420,3200500010420,1572,3.196728722623287
32,005,0001,0435,3200500010435,1019,3.0086001717619175
32,005,0001,0473,3200500010473,8,0.9542425094393249
32,005,0001,0505,3200500010505,0,0.0
32,005,0001,0524,3200500010524,2319,3.3654879848909
32,005,0001,0539,3200500010539,416,2.6201360549737576
32,005,0001,0543,3200500010543,20,1.3222192947339193
32,005,0001,0581,3200500010581,54,1.7403626894942439
32,005,0001,0628,3200500010628,0,0.0
32,005,0001,0651,3200500010651,183,2.2648178230095364
32,005,0001,0666,3200500010666,292,2.4668676203541096
32,005,0001,0717,3200500010717,73,1.8692317197309762
32,005,0001,0721,3200500010721,160,2.2068258760318495
32,005,0001,0736,3200500010736,156,2.1958996524092336
32,005,0001,0740,3200500010740,1114,3.0472748673841794
32,005,0001,0755,3200500010755,6,0.8450980400142568
32,005,0001,076A,320050001076A,2190,3.3406423775607053
32,005,0001,0774,3200500010774,1166,3.0670708560453703
32,005,0001,0789,3200500010789,2227,3.3479151865016914
32,005,0001,0793,3200500010793,379,2.57978359661681
32,005,0001,0806,3200500010806,0,0.0
32,005,0001,0810,3200500010810,4,0.6989700043360189
32,005,0001,083A,320050001083A,211,2.326335860928751
32,005,0001,0844,3200500010844,0,0.0
32,005,0001,0859,3200500010859,171,2.2355284469075487
32,005,0001,0863,3200500010863,24,1.3979400086720377
32,005,0001,0878,3200500010878,93,1.9731278535996986
32,005,0001,0882,3200500010882,25,1.414973347970818
32,005,0001,0914,3200500010914,20,1.3222192947339193
32,005,0001,0929,3200500010929,814,2.9111576087399764
32,005,0001,0933,3200500010933,168,2.2278867046136734
32,005,0022,0149,3200500220149,2553,3.4072208929273966
32,005,0022,0153,3200500220153,2219,3.346352974450639
32,005,0022,0312,3200500220312,232,2.367355921026019
32,005,0022,044A,320050022044A,175,2.24551266781415
32,005,0022,0454,3200500220454,91,1.9637878273455553
32,005,0022,051A,320050022051A,64,1.8129133566428555
32,005,0022,0647,3200500220647,48,1.6901960800285136
