ENTIDAD,MUN,LOC,AGEB,CVEGEO,POBTOT,log_POBTOT
01,001,0001,0017,0100100010017,2237,3.3498600821923312
01,001,0001,006A,010010001006A,1411,3.149834696715785
01,001,0001,0106,0100100010106,2962,3.471731651480051
01,001,0001,0163,0100100010163,2698,3.431202884556517
01,001,0001,0182,0100100010182,2218,3.346157302232008
01,001,0001,0229,0100100010229,300,2.4785664955938436
01,001,0001,0233,0100100010233,1400,3.1464381352857744
01,001,0001,0286,0100100010286,3262,3.513617073787875
01,001,0001,0290,0100100010290,1668,3.222456336679247
01,001,0001,0303,0100100010303,2202,3.343014497150768
01,001,0001,0322,0100100010322,2218,3.346157302232008
01,001,0001,0337,0100100010337,1241,3.0941215958405612
01,001,0001,0341,0100100010341,1763,3.246498580795801
01,001,0001,0356,0100100010356,1237,3.0927206446840994
01,001,0001,0360,0100100010360,1629,3.2121876044039577
01,001,0001,0375,0100100010375,859,2.934498451243568
01,001,0001,038A,010010001038A,3127,3.4952667443878105
01,001,0001,0407,0100100010407,509,2.7075701760979363
01,001,0001,0411,0100100010411,742,2.8709888137605755
01,001,0001,0426,0100100010426,2027,3.3070679506612985
01,001,0001,0430,0100100010430,1816,3.2593549273080344
01,001,0001,0445,0100100010445,1858,3.2692793897718984
01,001,0001,045A,010010001045A,2437,3.387033701282363
01,001,0001,0464,0100100010464,304,2.484299839346786
01,001,0001,0483,0100100010483,2900,3.4625477288026643
01,001,0001,0498,0100100010498,2455,3.3902283624691303
01,001,0001,0500,0100100010500,2646,3.422753941301348
01,001,0001,0515,0100100010515,2585,3.4126285205443754
01,001,0001,052A,010010001052A,2043,3.3104808914626753
01,001,0001,0534,0100100010534,2395,3.3794868137172736
01,001,0001,0549,0100100010549,2501,3.398287305357401
01,001,0001,0553,0100100010553,1441,3.15896526038341
01,001,0001,0568,0100100010568,1419,3.1522883443830563
01,001,0001,0572,0100100010572,2220,3.346548558548474
01,001,0001,0587,0100100010587,3127,3.4952667443878105
01,001,0001,0591,0100100010591,2010,3.303412070596742
01,001,0001,0604,0100100010604,1800,3.2555137128195333
01,001,0001,0619,0100100010619,2543,3.4055171069763763
01,001,0001,0623,0100100010623,999,3.0
01,001,0001,0638,0100100010638,472,2.6748611407378116
01,001,0001,0642,0100100010642,1347,3.129689892199301
01,001,0001,0657,0100100010657,1899,3.278753600952829
01,001,0001,0676,0100100010676,1448,3.1610683854711747
01,001,0001,0680,0100100010680,1202,3.0802656273398448
01,001,0001,0695,0100100010695,846,2.9278834103307068
01,001,0001,0708,0100100010708,1245,3.095518042323151
01,001,0001,0712,0100100010712,2487,3.3958503760187813
01,001,0001,0727,0100100010727,1354,3.1319392952104246
01,001,0001,0731,0100100010731,837,2.9232440186302764
01,001,0001,0746,0100100010746,390,2.5921767573958667
01,001,0001,077A,010010001077A,2640,3.421768401206924
01,001,0001,0784,0100100010784,699,2.845098040014257
01,001,0001,0799,0100100010799,3683,3.566319621524811
01,001,0001,0801,0100100010801,1277,3.1065308538223815
01,001,0001,0816,0100100010816,1954,3.2911467617318855
01,001,0001,0820,0100100010820,1940,3.2880255353883627
01,001,0001,0835,0100100010835,1432,3.1562461903973444
01,001,0001,084A,010010001084A,1626,3.2113875529368587
01,001,0001,0854,0100100010854,1201,3.079904467666721
01,001,0001,0869,0100100010869,1449,3.161368002234975
01,001,0001,0873,0100100010873,912,2.960470777534299
01,001,0001,0888,0100100010888,1999,3.3010299956639813
01,001,0001,0892,0100100010892,3015,3.4794313371977363
01,001,0001,0905,0100100010905,4465,3.649918718735419
01,001,0001,091A,010010001091A,3838,3.584218112117405
01,001,0001,0939,0100100010939,623,2.795184589682424
01,001,0001,0962,0100100010962,4088,3.611617110554336
01,001,0001,0977,0100100010977,3386,3.5298151966446305
01,001,0001,0996,0100100010996,795,2.900913067737669
01,001,0001,1000,0100100011000,2446,3.388633969351789
01,001,0001,1034,0100100011034,5369,3.7299742856995555
01,001,0001,1091,0100100011091,3926,3.594060901270418
01,001,0001,1161,0100100011161,5374,3.730378468587643
01,001,0001,1195,0100100011195,1821,3.2605483726369795
01,001,0001,1208,0100100011208,1634,3.2135177569963047
01,001,0001,1227,0100100011227,2264,3.3550682063488506
01,001,0001,1265,0100100011265,1052,3.0224283711854865
01,001,0001,1299,0100100011299,3483,3.5420781463356255
01,001,0001,1316,0100100011316,1981,3.2971036501492565
01,001,0001,1320,0100100011320,5076,3.705607163404605
01,001,0001,134A,010010001134A,288,2.4608978427565478
01,001,0001,1354,0100100011354,4573,3.66029616027073
01,001,0001,1373,0100100011373,3785,3.5781806096277777
01,001,0001,1392,0100100011392,6245,3.7956019798941796
01,001,0001,1405,0100100011405,7268,3.8614746688571686
01,001,0001,1424,0100100011424,26,1.4313637641589874
01,001,0001,1439,0100100011439,5647,3.7518946880437474
01,001,0001,1458,0100100011458,2088,3.3199384399803087
01,001,0001,1462,0100100011462,334,2.525044807036845
01,001,0001,1477,0100100011477,1920,3.2835273648616936
01,001,0001,1481,0100100011481,17,1.255272505103306
01,001,0001,1509,0100100011509,2670,3.426673888021373
01,001,0001,1528,0100100011528,158,2.2013971243204513
01,001,0001,1547,0100100011547,1680,3.225567713439471
01,001,0001,1551,0100100011551,177,2.250420002308894
01,001,0001,159A,010010001159A,5107,3.708250888591378
01,001,0001,1636,0100100011636,3120,3.4942937686653326
01,001,0001,1674,0100100011674,1697,3.229937685907934
01,001,0001,1689,0100100011689,5188,3.715083670694927
01,001,0001,1693,0100100011693,5784,3.7623033632877685
01,001,0001,1710,0100100011710,3247,3.5116160205691376
01,001,0001,1744,0100100011744,5416,3.733758835587203
01,001,0001,1782,0100100011782,0,0.0
01,001,0001,1956,0100100011956,1344,3.128722284338427
01,001,0001,1960,0100100011960,1053,3.022840610876528
01,001,0001,1975,0100100011975,933,2.9703468762300935
01,001,0001,198A,010010001198A,2394,3.379305517750582
01,001,0001,1994,0100100011994,1513,3.180125875164054
01,001,0001,2009,0100100012009,3098,3.491221576239283
01,001,0001,2013,0100100012013,3538,3.548880562637515
01,001,0001,2028,0100100012028,2916,3.4649364291217326
01,001,0001,2032,0100100012032,2435,3.3866772839608377
01,001,0001,2047,0100100012047,1046,3.0199466816788423
01,001,0001,2051,0100100012051,2894,3.4616485680634552
01,001,0001,2066,0100100012066,5703,3.756179516843809
01,001,0001,2070,0100100012070,1892,3.277150613963797
01,001,0001,2085,0100100012085,2973,3.4733409641859354
01,001,0001,209A,010010001209A,1169,3.0681858617461617
01,001,0001,2102,0100100012102,1186,3.074450718954591
01,001,0001,2117,0100100012117,1626,3.2113875529368587
01,001,0001,2121,0100100012121,3007,3.4782778319196046
01,001,0001,2136,0100100012136,3630,3.560026248912892
01,001,0001,2140,0100100012140,1989,3.298853076409707
01,001,0001,2155,0100100012155,2664,3.425697213362591
01,001,0001,216A,010010001216A,2657,3.4245549766067134
01,001,0001,2174,0100100012174,3237,3.510276844417355
01,001,0001,2189,0100100012189,2745,3.4387005329007363
01,001,0001,2193,0100100012193,5669,3.7535830588929064
01,001,0001,2206,0100100012206,4385,3.642068627341504
01,001,0001,2210,0100100012210,3798,3.5796692935547205
01,001,0001,2225,0100100012225,4683,3.6706168864003255
01,001,0001,2259,0100100012259,1552,3.1911714557285586
01,001,0001,2263,0100100012263,2472,3.3932241163612975
01,001,0001,2278,0100100012278,3994,3.6015167836500104
01,001,0001,2282,0100100012282,3382,3.5293019977879805
01,001,0001,2297,0100100012297,2002,3.3016809492935764
01,001,0001,230A,010010001230A,5063,3.7044936970092985
01,001,0001,2314,0100100012314,4871,3.687707279624819
01,001,0001,2329,0100100012329,3566,3.552303109338354
01,001,0001,2333,0100100012333,3012,3.478999131673357
01,001,0001,2348,0100100012348,3129,3.4955443375464483
01,001,0001,2352,0100100012352,3682,3.566201718854913
01,001,0001,2367,0100100012367,3367,3.527372082827612
01,001,0001,2371,0100100012371,1288,3.110252917353403
01,001,0001,2386,0100100012386,2728,3.4360035356698964
01,001,0001,2390,0100100012390,1147,3.059941888061955
01,001,0001,2403,0100100012403,2345,3.3703280077795106
01,001,0001,2422,0100100012422,2908,3.463743721247059
01,001,0001,2456,0100100012456,938,2.972665592266111
01,001,0001,2460,0100100012460,1752,3.243781916093795
01,001,0001,2475,0100100012475,4273,3.630834517828051
01,001,0001,248A,010010001248A,5016,3.7004441010277516
01,001,0001,2494,0100100012494,3943,3.5959369062691735
01,001,0001,2507,0100100012507,3631,3.5601458398490475
01,001,0001,2511,0100100012511,4300,3.6335694425540916
01,001,0001,2526,0100100012526,3113,3.4933186082321015
01,001,0001,255A,010010001255A,4697,3.671913012441587
01,001,0001,2564,0100100012564,5349,3.7283537820212285
01,001,0001,2579,0100100012579,4035,3.605951157564873
01,001,0001,2583,0100100012583,3611,3.5577477416414682
01,001,0001,2598,0100100012598,3823,3.5825178836040625
01,001,0001,2600,0100100012600,4773,3.6788824146707357
01,001,0001,262A,010010001262A,4228,3.6262376851469003
01,001,0001,2634,0100100012634,3325,3.5219222448835006
01,001,0001,2649,0100100012649,3435,3.5360531551592045
01,001,0001,2668,0100100012668,2764,3.441695135640717
01,001,0001,2672,0100100012672,4351,3.6386888866901237
01,001,0001,2687,0100100012687,8357,3.922102366807607
01,001,0001,2691,0100100012691,4965,3.6960067152185454
01,001,0001,2704,0100100012704,8289,3.9185545305502734
01,001,0001,2719,0100100012719,6878,3.8375253094496014
01,001,0001,2723,0100100012723,6352,3.8029788553352617
