ENTIDAD,MUN,LOC,AGEB,CVEGEO,POBTOT,log_POBTOT
23,001,0001,0028,2300100010028,2178,3.3382572302462554
23,001,0001,0032,2300100010032,2909,3.4638929889859074
23,001,0001,0051,2300100010051,3202,3.5055569386638217
23,001,0001,0070,2300100010070,1087,3.036628895362161
23,001,0001,0403,2300100010403,498,2.6981005456233897
23,001,0001,0418,2300100010418,698,2.8444771757456815
23,001,0001,0422,2300100010422,2519,3.401400540781544
23,001,0001,0441,2300100010441,5386,3.731346975545955
23,001,0001,0456,2300100010456,1205,3.0813473078041325
23,001,0001,0723,2300100010723,2229,3.3483048630481607
23,001,0001,0738,2300100010738,3853,3.5859117103194342
23,001,0001,0742,2300100010742,1294,3.1122697684172707
23,001,0001,0757,2300100010757,1809,3.2576785748691846
23,001,0001,0780,2300100010780,5981,3.7768464086952993
23,001,0001,0795,2300100010795,2385,3.377670439334323
23,001,0001,0808,2300100010808,1986,3.298197867109815
23,001,0001,0812,2300100010812,1849,3.2671717284030137
23,001,0001,0827,2300100010827,2316,3.364926033789976
23,001,0001,0831,2300100010831,2943,3.4689378056654614
23,001,0001,0899,2300100010899,5976,3.7764832558336816
23,001,0001,0901,2300100010901,1297,3.1132746924643504
23,001,0001,0916,2300100010916,948,2.977266212427293
23,001,0001,0920,2300100010920,626,2.7972675408307164
23,001,0001,094A,230010001094A,120,2.0827853703164503
23,001,0001,0973,2300100010973,21,1.3424226808222062
23,001,0001,0992,2300100010992,28,1.462397997898956
23,001,0001,1007,2300100011007,89,1.954242509439325
23,001,0001,1026,2300100011026,1758,3.245265839457461
23,001,0001,1030,2300100011030,2931,3.4671639659690903
23,001,0001,105A,230010001105A,1628,3.2119210843085093
23,001,0001,1083,2300100011083,872,2.9410142437055695
23,001,0001,1098,2300100011098,3077,3.48826861549546
23,001,0001,1100,2300100011100,210,2.3242824552976926
23,001,0001,1115,2300100011115,1110,3.0457140589408676
23,001,0001,112A,230010001112A,1537,3.1869563354654122
23,001,0001,1134,2300100011134,187,2.27415784926368
23,001,0001,1149,2300100011149,1247,3.0962145853464054
23,001,0001,1153,2300100011153,2010,3.303412070596742
23,001,0001,1168,2300100011168,981,2.9921114877869495
23,001,0001,1172,2300100011172,743,2.8715729355458786
23,001,0001,1187,2300100011187,67,1.8325089127062364
23,001,0001,1191,2300100011191,19,1.3010299956639813
23,001,0001,1204,2300100011204,3811,3.5811528919662887
23,001,0001,1223,2300100011223,131,2.12057393120585
23,001,0001,1238,2300100011238,568,2.7551122663950713
23,001,0001,1242,2300100011242,52,1.724275869600789
23,001,0001,1257,2300100011257,336,2.5276299008713385
