model,state,r2,mae,rmse,n
ridge,01,0.5855425000190735,0.24792280793190002,0.28747445344924927,11
ridge,02,0.31207239627838135,0.22247333824634552,0.261130154132843,5
ridge,03,-0.5185171365737915,0.30951547622680664,0.3505053222179413,5
ridge,04,0.5522192120552063,0.20031295716762543,0.2398713380098343,11
ridge,05,0.7568470239639282,0.27773812413215637,0.39791789650917053,38
ridge,06,0.34329313039779663,0.15086479485034943,0.22640100121498108,10
ridge,07,0.5913978815078735,0.24782386422157288,0.3120113015174866,118
ridge,08,0.3935741186141968,0.5240558981895447,0.672304630279541,67
ridge,09,-0.24974119663238525,0.4150603413581848,0.4499196410179138,16
ridge,10,0.6226606369018555,0.26534757018089294,0.33704137802124023,39
ridge,11,0.5224331021308899,0.2353222668170929,0.30550119280815125,46
ridge,12,-0.8200602531433105,0.4335725009441376,0.5247990489006042,81
ridge,13,0.5516993999481201,0.35156551003456116,0.4905903935432434,84
ridge,14,0.5974583625793457,0.2445458024740219,0.30631405115127563,125
ridge,15,0.8105404376983643,0.2606865167617798,0.3301795423030853,125
ridge,16,0.594887375831604,0.25630566477775574,0.3075021803379059,113
ridge,17,0.4919354319572449,0.2595599889755249,0.3057399094104767,33
ridge,18,0.06447744369506836,0.2549145817756653,0.33206865191459656,20
ridge,19,0.613824725151062,0.46789050102233887,0.5782961845397949,51
ridge,20,0.6125516891479492,0.420932799577713,0.5437790751457214,570
ridge,21,0.6431924104690552,0.3077680170536041,0.3988094627857208,217
ridge,22,0.48390400409698486,0.2686713635921478,0.3181437849998474,18
ridge,23,0.23788630962371826,0.18434211611747742,0.2510739266872406,9
ridge,24,0.6907216310501099,0.28491586446762085,0.3631393015384674,58
ridge,25,-0.9295172691345215,0.38210710883140564,0.4383101761341095,18
ridge,26,0.017913103103637695,0.35903751850128174,0.4502589702606201,72
ridge,27,0.41148126125335693,0.24317286908626556,0.2920646369457245,17
ridge,28,0.714337170124054,0.2620497941970825,0.34814128279685974,43
ridge,29,0.7577035427093506,0.22570429742336273,0.2927538752555847,60
ridge,30,0.46545708179473877,0.2624507546424866,0.3375646770000458,212
ridge,31,0.34878987073898315,0.2508516013622284,0.32306477427482605,106
ridge,32,0.4770619869232178,0.2994997799396515,0.3607357144355774,58
xgboost,01,0.06081312894821167,0.3916018605232239,0.4327481985092163,11
xgboost,02,0.16326409578323364,0.22616377472877502,0.28799161314964294,5
xgboost,03,-0.32144415378570557,0.2585272789001465,0.3269709348678589,5
xgboost,04,0.5889228582382202,0.16255244612693787,0.2298303097486496,11
xgboost,05,0.6488150954246521,0.3318606913089752,0.47821325063705444,38
xgboost,06,0.14214730262756348,0.17936214804649353,0.25876104831695557,10
xgboost,07,0.46729159355163574,0.2778083086013794,0.3562581241130829,118
xgboost,08,0.2517692446708679,0.6139878034591675,0.7467840909957886,67
xgboost,09,-1.6130518913269043,0.6038942337036133,0.6505773067474365,16
xgboost,10,0.6691874861717224,0.23465827107429504,0.31557902693748474,39
xgboost,11,0.6993318200111389,0.1907036453485489,0.24240384995937347,46
xgboost,12,-0.4446793794631958,0.3927828073501587,0.4675583839416504,81
xgboost,13,0.5861823558807373,0.3537738025188446,0.4713449478149414,84
xgboost,14,0.5669659972190857,0.2573305070400238,0.31770387291908264,125
xgboost,15,0.7760722637176514,0.2822454273700714,0.358959823846817,125
xgboost,16,0.6059753894805908,0.23869206011295319,0.3032647967338562,113
xgboost,17,0.5346355438232422,0.25490015745162964,0.2926100790500641,33
xgboost,18,0.41400569677352905,0.21035273373126984,0.26281335949897766,20
xgboost,19,0.5492695569992065,0.488157719373703,0.6247648000717163,51
xgboost,20,0.5843031406402588,0.4487113654613495,0.5632535815238953,570
xgboost,21,0.6460247039794922,0.31210556626319885,0.39722341299057007,217
xgboost,22,0.551651120185852,0.22465436160564423,0.2965283989906311,18
xgboost,23,-0.5663199424743652,0.2804003357887268,0.3599415421485901,9
xgboost,24,0.6112766861915588,0.3168467581272125,0.4071165919303894,58
xgboost,25,-1.1781158447265625,0.37991827726364136,0.46569082140922546,18
xgboost,26,0.30766361951828003,0.30334722995758057,0.3780471980571747,72
xgboost,27,0.7013052701950073,0.15272311866283417,0.2080714851617813,17
xgboost,28,0.5158901214599609,0.3492264449596405,0.4532112181186676,43
xgboost,29,0.750583827495575,0.23598191142082214,0.2970239222049713,60
xgboost,30,0.4987871050834656,0.247685968875885,0.3268713057041168,212
xgboost,31,0.28286874294281006,0.26081910729408264,0.33902236819267273,106
xgboost,32,0.5706192255020142,0.25279802083969116,0.32687774300575256,58
